,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,156,747,738,1,5,5,20883,2020-09-16 09:19:11.561868
1,City of Alhambra,1205,1389,1380,27,31,22,86724,2020-09-16 09:19:11.561868
2,City of Arcadia,468,810,779,33,57,36,57754,2020-09-16 09:19:11.561868
3,City of Artesia,348,2072,1972,8,48,34,16795,2020-09-16 09:19:11.561868
4,City of Avalon,5,129,151,0,0,0,3869,2020-09-16 09:19:11.561868
5,City of Azusa,1471,2940,2954,20,40,48,50040,2020-09-16 09:19:11.561868
6,City of Baldwin Park,2815,3667,3635,83,108,124,76769,2020-09-16 09:19:11.561868
7,City of Bell,1523,4192,4219,40,110,147,36332,2020-09-16 09:19:11.561868
8,City of Bell Gardens,1844,4281,4328,21,49,77,43071,2020-09-16 09:19:11.561868
9,City of Bellflower,2291,2947,2930,59,76,86,77735,2020-09-16 09:19:11.561868
10,City of Beverly Hills,649,1880,1862,12,35,17,34520,2020-09-16 09:19:11.561868
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-16 09:19:11.561868
12,City of Burbank,1414,1319,1246,57,53,41,107180,2020-09-16 09:19:11.561868
13,City of Calabasas,251,1032,956,12,49,41,24323,2020-09-16 09:19:11.561868
14,City of Carson,1775,1891,1834,57,61,47,93846,2020-09-16 09:19:11.561868
15,City of Cerritos,542,1083,1137,15,30,23,50067,2020-09-16 09:19:11.561868
16,City of Claremont,363,995,1027,10,27,17,36484,2020-09-16 09:19:11.561868
17,City of Commerce,550,4208,4157,11,84,88,13069,2020-09-16 09:19:11.561868
18,City of Compton,3888,3892,3901,68,68,83,99904,2020-09-16 09:19:11.561868
19,City of Covina,1335,2723,2697,35,71,65,49032,2020-09-16 09:19:11.561868
20,City of Cudahy,1058,4346,4404,15,62,102,24347,2020-09-16 09:19:11.561868
21,City of Culver City,376,943,913,29,73,49,39865,2020-09-16 09:19:11.561868
22,City of Diamond Bar,525,913,892,9,16,11,57515,2020-09-16 09:19:11.561868
23,City of Downey,3911,3423,3347,83,73,71,114263,2020-09-16 09:19:11.561868
24,City of Duarte,530,2407,2254,29,132,84,22016,2020-09-16 09:19:11.561868
25,City of El Monte,4204,3585,3549,154,131,132,117269,2020-09-16 09:19:11.561868
26,City of El Segundo,128,763,747,1,6,3,16786,2020-09-16 09:19:11.561868
27,City of Gardena,1206,1967,1947,47,77,54,61310,2020-09-16 09:19:11.561868
28,City of Glendale,3409,1651,1523,173,84,58,206493,2020-09-16 09:19:11.561868
29,City of Glendora,1209,2291,2145,67,127,95,52764,2020-09-16 09:19:11.561868
30,City of Hawaiian Gardens,518,3530,3457,2,14,16,14676,2020-09-16 09:19:11.561868
31,City of Hawthorne,1883,2121,2101,42,47,54,88787,2020-09-16 09:19:11.561868
32,City of Hermosa Beach,202,1027,998,4,20,27,19670,2020-09-16 09:19:11.561868
33,City of Hidden Hills,6,317,160,0,0,0,1890,2020-09-16 09:19:11.561868
34,City of Huntington Park,2780,4674,4648,53,89,116,59484,2020-09-16 09:19:11.561868
35,City of Industry,36,8238,8236,2,458,556,437,2020-09-16 09:19:11.561868
36,City of Inglewood,2765,2434,2406,89,78,84,113582,2020-09-16 09:19:11.561868
37,City of Irwindale,69,4729,4695,2,137,155,1459,2020-09-16 09:19:11.561868
38,City of La Canada Flintridge,174,841,974,7,34,21,20693,2020-09-16 09:19:11.561868
39,City of La Habra Heights,40,733,688,0,0,0,5455,2020-09-16 09:19:11.561868
40,City of La Mirada,812,1637,1570,27,54,37,49599,2020-09-16 09:19:11.561868
41,City of La Puente,1442,3543,3467,18,44,44,40697,2020-09-16 09:19:11.561868
42,City of La Verne,442,1328,1389,10,30,16,33282,2020-09-16 09:19:11.561868
43,City of Lakewood,1219,1517,1521,13,16,13,80362,2020-09-16 09:19:11.561868
44,City of Lancaster,3151,1950,1973,46,28,35,161570,2020-09-16 09:19:11.561868
45,City of Lawndale,613,1824,1768,10,30,39,33614,2020-09-16 09:19:11.561868
46,City of Lomita,236,1139,1105,9,43,30,20729,2020-09-16 09:19:11.561868
47,City of Lynwood,3138,4355,4474,95,132,206,72047,2020-09-16 09:19:11.561868
48,City of Malibu,101,779,792,3,23,11,12961,2020-09-16 09:19:11.561868
49,City of Manhattan Beach,344,956,954,5,14,13,35999,2020-09-16 09:19:11.561868
50,City of Maywood,1392,4963,5138,33,118,177,28049,2020-09-16 09:19:11.561868
51,City of Monrovia,724,1866,1864,37,95,91,38800,2020-09-16 09:19:11.561868
52,City of Montebello,2213,3438,3405,48,75,60,64375,2020-09-16 09:19:11.561868
53,City of Monterey Park,933,1499,1441,46,74,35,62262,2020-09-16 09:19:11.561868
54,City of Norwalk,3106,2886,2814,72,67,66,107622,2020-09-16 09:19:11.561868
55,City of Palmdale,3883,2443,2472,67,42,52,158968,2020-09-16 09:19:11.561868
56,City of Palos Verdes Estates,92,680,636,2,15,7,13522,2020-09-16 09:19:11.561868
57,City of Paramount,2307,4118,4065,28,50,66,56023,2020-09-16 09:19:11.561868
58,City of Pico Rivera,2318,3606,3518,73,114,96,64284,2020-09-16 09:19:11.561868
59,City of Pomona,5235,3357,3329,118,76,92,155931,2020-09-16 09:19:11.561868
60,City of Rancho Palos Verdes,285,667,688,13,30,13,42747,2020-09-16 09:19:11.561868
61,City of Redondo Beach,534,777,812,9,13,14,68697,2020-09-16 09:19:11.561868
62,City of Rolling Hills,11,567,673,0,0,0,1940,2020-09-16 09:19:11.561868
63,City of Rolling Hills Estates,40,493,612,2,25,13,8113,2020-09-16 09:19:11.561868
64,City of Rosemead,801,1447,1413,25,45,34,55350,2020-09-16 09:19:11.561868
65,City of San Dimas,499,1446,1436,14,41,31,34516,2020-09-16 09:19:11.561868
66,City of San Fernando,864,3510,3477,18,73,90,24612,2020-09-16 09:19:11.561868
67,City of San Gabriel,616,1504,1375,58,142,99,40954,2020-09-16 09:19:11.561868
68,City of San Marino,85,640,547,2,15,9,13277,2020-09-16 09:19:11.561868
69,City of Santa Clarita,3213,1458,1469,45,20,22,220424,2020-09-16 09:19:11.561868
70,City of Santa Fe Springs,540,2941,2948,4,22,20,18364,2020-09-16 09:19:11.561868
71,City of Santa Monica,834,902,856,42,45,33,92446,2020-09-16 09:19:11.561868
72,City of Sierra Madre,71,646,615,3,27,17,10989,2020-09-16 09:19:11.561868
73,City of Signal Hill,264,2238,2264,2,17,18,11797,2020-09-16 09:19:11.561868
74,City of South El Monte,771,3692,3670,15,72,81,20885,2020-09-16 09:19:11.561868
75,City of South Gate,4248,4328,4262,68,69,89,98155,2020-09-16 09:19:11.561868
76,City of South Pasadena,265,1017,964,27,104,85,26053,2020-09-16 09:19:11.561868
77,City of Temple City,514,1410,1289,41,112,72,36455,2020-09-16 09:19:11.561868
78,City of Torrance,1365,914,894,68,46,32,149268,2020-09-16 09:19:11.561868
79,City of Vernon,10,4785,5018,0,0,0,209,2020-09-16 09:19:11.561868
