,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,139,666,650,2,10,10,20883,2020-08-23 17:15:23.643537
1,City of Alhambra,1097,1265,1259,23,27,18,86724,2020-08-23 17:15:23.643537
2,City of Arcadia,428,741,714,30,52,33,57754,2020-08-23 17:15:23.643537
3,City of Artesia,288,1715,1669,4,24,15,16795,2020-08-23 17:15:23.643537
4,City of Avalon,5,129,151,0,0,0,3869,2020-08-23 17:15:23.643537
5,City of Azusa,1330,2658,2664,15,30,35,50040,2020-08-23 17:15:23.643537
6,City of Baldwin Park,2495,3250,3222,72,94,108,76769,2020-08-23 17:15:23.643537
7,City of Bell,1389,3823,3850,36,99,134,36332,2020-08-23 17:15:23.643537
8,City of Bell Gardens,1702,3952,3991,21,49,77,43071,2020-08-23 17:15:23.643537
9,City of Bellflower,2085,2682,2665,54,69,80,77735,2020-08-23 17:15:23.643537
10,City of Beverly Hills,593,1718,1693,11,32,16,34520,2020-08-23 17:15:23.643537
11,City of Bradbury,13,1216,1445,0,0,0,1069,2020-08-23 17:15:23.643537
12,City of Burbank,1248,1164,1093,55,51,40,107180,2020-08-23 17:15:23.643537
13,City of Calabasas,229,942,877,12,49,41,24323,2020-08-23 17:15:23.643537
14,City of Carson,1619,1725,1676,48,51,40,93846,2020-08-23 17:15:23.643537
15,City of Cerritos,495,989,1041,13,26,19,50067,2020-08-23 17:15:23.643537
16,City of Claremont,323,885,916,8,22,13,36484,2020-08-23 17:15:23.643537
17,City of Commerce,505,3864,3824,8,61,66,13069,2020-08-23 17:15:23.643537
18,City of Compton,3534,3537,3537,55,55,68,99904,2020-08-23 17:15:23.643537
19,City of Covina,1191,2429,2407,22,45,41,49032,2020-08-23 17:15:23.643537
20,City of Cudahy,985,4046,4097,15,62,102,24347,2020-08-23 17:15:23.643537
21,City of Culver City,361,906,875,29,73,49,39865,2020-08-23 17:15:23.643537
22,City of Diamond Bar,479,833,816,7,12,8,57515,2020-08-23 17:15:23.643537
23,City of Downey,3572,3126,3053,76,67,65,114263,2020-08-23 17:15:23.643537
24,City of Duarte,444,2017,1890,25,114,71,22016,2020-08-23 17:15:23.643537
25,City of El Monte,3886,3314,3280,129,110,111,117269,2020-08-23 17:15:23.643537
26,City of El Segundo,115,685,662,1,6,3,16786,2020-08-23 17:15:23.643537
27,City of Gardena,1067,1740,1724,37,60,42,61310,2020-08-23 17:15:23.643537
28,City of Glendale,2916,1412,1293,157,76,52,206493,2020-08-23 17:15:23.643537
29,City of Glendora,1116,2115,1980,61,116,87,52764,2020-08-23 17:15:23.643537
30,City of Hawaiian Gardens,467,3182,3121,2,14,16,14676,2020-08-23 17:15:23.643537
31,City of Hawthorne,1721,1938,1919,36,41,48,88787,2020-08-23 17:15:23.643537
32,City of Hermosa Beach,183,930,896,3,15,20,19670,2020-08-23 17:15:23.643537
33,City of Hidden Hills,7,370,204,0,0,0,1890,2020-08-23 17:15:23.643537
34,City of Huntington Park,2509,4218,4200,39,66,85,59484,2020-08-23 17:15:23.643537
35,City of Industry,30,6865,7269,2,458,556,437,2020-08-23 17:15:23.643537
36,City of Inglewood,2529,2227,2200,82,72,78,113582,2020-08-23 17:15:23.643537
37,City of Irwindale,61,4181,4209,2,137,155,1459,2020-08-23 17:15:23.643537
38,City of La Canada Flintridge,153,739,874,7,34,21,20693,2020-08-23 17:15:23.643537
39,City of La Habra Heights,32,587,546,0,0,0,5455,2020-08-23 17:15:23.643537
40,City of La Mirada,753,1518,1444,24,48,34,49599,2020-08-23 17:15:23.643537
41,City of La Puente,1324,3253,3183,15,37,38,40697,2020-08-23 17:15:23.643537
42,City of La Verne,394,1184,1245,10,30,16,33282,2020-08-23 17:15:23.643537
43,City of Lakewood,1093,1360,1361,9,11,9,80362,2020-08-23 17:15:23.643537
44,City of Lancaster,2741,1696,1719,37,23,29,161570,2020-08-23 17:15:23.643537
45,City of Lawndale,562,1672,1620,9,27,34,33614,2020-08-23 17:15:23.643537
46,City of Lomita,217,1047,1018,8,39,26,20729,2020-08-23 17:15:23.643537
47,City of Lynwood,2854,3961,4075,85,118,184,72047,2020-08-23 17:15:23.643537
48,City of Malibu,91,702,698,3,23,11,12961,2020-08-23 17:15:23.643537
49,City of Manhattan Beach,304,844,838,4,11,10,35999,2020-08-23 17:15:23.643537
50,City of Maywood,1246,4442,4610,30,107,162,28049,2020-08-23 17:15:23.643537
51,City of Monrovia,652,1680,1673,35,90,86,38800,2020-08-23 17:15:23.643537
52,City of Montebello,1981,3077,3045,40,62,51,64375,2020-08-23 17:15:23.643537
53,City of Monterey Park,830,1333,1298,27,43,22,62262,2020-08-23 17:15:23.643537
54,City of Norwalk,2887,2683,2613,65,60,59,107622,2020-08-23 17:15:23.643537
55,City of Palmdale,3430,2158,2182,50,31,38,158968,2020-08-23 17:15:23.643537
56,City of Palos Verdes Estates,78,577,553,2,15,7,13522,2020-08-23 17:15:23.643537
57,City of Paramount,2141,3822,3768,25,45,59,56023,2020-08-23 17:15:23.643537
58,City of Pico Rivera,2108,3279,3205,62,96,83,64284,2020-08-23 17:15:23.643537
59,City of Pomona,4764,3055,3030,96,62,75,155931,2020-08-23 17:15:23.643537
60,City of Rancho Palos Verdes,258,604,631,12,28,13,42747,2020-08-23 17:15:23.643537
61,City of Redondo Beach,504,734,762,9,13,14,68697,2020-08-23 17:15:23.643537
62,City of Rolling Hills,6,309,511,0,0,0,1940,2020-08-23 17:15:23.643537
63,City of Rolling Hills Estates,36,444,576,2,25,13,8113,2020-08-23 17:15:23.643537
64,City of Rosemead,720,1301,1270,24,43,32,55350,2020-08-23 17:15:23.643537
65,City of San Dimas,452,1310,1326,10,29,21,34516,2020-08-23 17:15:23.643537
66,City of San Fernando,765,3108,3089,17,69,86,24612,2020-08-23 17:15:23.643537
67,City of San Gabriel,539,1316,1203,37,90,63,40954,2020-08-23 17:15:23.643537
68,City of San Marino,69,520,450,2,15,9,13277,2020-08-23 17:15:23.643537
69,City of Santa Clarita,2796,1268,1278,41,19,20,220424,2020-08-23 17:15:23.643537
70,City of Santa Fe Springs,478,2603,2606,5,27,23,18364,2020-08-23 17:15:23.643537
71,City of Santa Monica,734,794,741,39,42,29,92446,2020-08-23 17:15:23.643537
72,City of Sierra Madre,65,592,543,3,27,17,10989,2020-08-23 17:15:23.643537
73,City of Signal Hill,231,1958,1986,1,8,6,11797,2020-08-23 17:15:23.643537
74,City of South El Monte,708,3390,3373,13,62,67,20885,2020-08-23 17:15:23.643537
75,City of South Gate,3922,3996,3928,59,60,78,98155,2020-08-23 17:15:23.643537
76,City of South Pasadena,241,925,874,26,100,81,26053,2020-08-23 17:15:23.643537
77,City of Temple City,472,1295,1176,40,110,70,36455,2020-08-23 17:15:23.643537
78,City of Torrance,1239,830,803,62,42,30,149268,2020-08-23 17:15:23.643537
