,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,155,742,733,1,5,5,20883,2020-09-14 13:39:57.615921
1,City of Alhambra,1199,1383,1374,27,31,22,86724,2020-09-14 13:39:57.615921
2,City of Arcadia,464,803,771,32,55,35,57754,2020-09-14 13:39:57.615921
3,City of Artesia,346,2060,1958,7,42,30,16795,2020-09-14 13:39:57.615921
4,City of Avalon,5,129,151,0,0,0,3869,2020-09-14 13:39:57.615921
5,City of Azusa,1466,2930,2947,20,40,48,50040,2020-09-14 13:39:57.615921
6,City of Baldwin Park,2803,3651,3619,81,106,121,76769,2020-09-14 13:39:57.615921
7,City of Bell,1511,4159,4185,40,110,147,36332,2020-09-14 13:39:57.615921
8,City of Bell Gardens,1835,4260,4303,21,49,77,43071,2020-09-14 13:39:57.615921
9,City of Bellflower,2282,2936,2918,58,75,84,77735,2020-09-14 13:39:57.615921
10,City of Beverly Hills,645,1868,1850,12,35,17,34520,2020-09-14 13:39:57.615921
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-14 13:39:57.615921
12,City of Burbank,1405,1311,1238,57,53,41,107180,2020-09-14 13:39:57.615921
13,City of Calabasas,250,1028,950,12,49,41,24323,2020-09-14 13:39:57.615921
14,City of Carson,1772,1888,1832,56,60,47,93846,2020-09-14 13:39:57.615921
15,City of Cerritos,541,1081,1136,14,28,22,50067,2020-09-14 13:39:57.615921
16,City of Claremont,366,1003,1035,10,27,17,36484,2020-09-14 13:39:57.615921
17,City of Commerce,550,4208,4157,11,84,88,13069,2020-09-14 13:39:57.615921
18,City of Compton,3872,3876,3884,67,67,82,99904,2020-09-14 13:39:57.615921
19,City of Covina,1328,2708,2686,36,73,67,49032,2020-09-14 13:39:57.615921
20,City of Cudahy,1057,4341,4398,15,62,102,24347,2020-09-14 13:39:57.615921
21,City of Culver City,374,938,907,29,73,49,39865,2020-09-14 13:39:57.615921
22,City of Diamond Bar,520,904,885,9,16,11,57515,2020-09-14 13:39:57.615921
23,City of Downey,3881,3397,3321,83,73,71,114263,2020-09-14 13:39:57.615921
24,City of Duarte,527,2394,2241,28,127,81,22016,2020-09-14 13:39:57.615921
25,City of El Monte,4191,3574,3537,151,129,129,117269,2020-09-14 13:39:57.615921
