,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,153,733,725,2,10,10,20883,2020-09-08 01:36:39.618582
1,City of Alhambra,1175,1355,1351,24,28,19,86724,2020-09-08 01:36:39.618582
2,City of Arcadia,454,786,756,31,54,34,57754,2020-09-08 01:36:39.618582
3,City of Artesia,306,1822,1757,6,36,25,16795,2020-09-08 01:36:39.618582
4,City of Avalon,5,129,151,0,0,0,3869,2020-09-08 01:36:39.618582
5,City of Azusa,1445,2888,2901,18,36,43,50040,2020-09-08 01:36:39.618582
6,City of Baldwin Park,2738,3567,3537,80,104,120,76769,2020-09-08 01:36:39.618582
7,City of Bell,1479,4071,4095,40,110,147,36332,2020-09-08 01:36:39.618582
8,City of Bell Gardens,1809,4200,4243,21,49,77,43071,2020-09-08 01:36:39.618582
9,City of Bellflower,2245,2888,2871,58,75,84,77735,2020-09-08 01:36:39.618582
10,City of Beverly Hills,625,1811,1793,12,35,17,34520,2020-09-08 01:36:39.618582
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-08 01:36:39.618582
12,City of Burbank,1375,1283,1211,57,53,41,107180,2020-09-08 01:36:39.618582
13,City of Calabasas,241,991,918,12,49,41,24323,2020-09-08 01:36:39.618582
14,City of Carson,1737,1851,1796,54,58,45,93846,2020-09-08 01:36:39.618582
15,City of Cerritos,533,1065,1121,13,26,19,50067,2020-09-08 01:36:39.618582
16,City of Claremont,353,968,1006,10,27,17,36484,2020-09-08 01:36:39.618582
17,City of Commerce,543,4155,4105,10,77,82,13069,2020-09-08 01:36:39.618582
18,City of Compton,3790,3794,3802,61,61,75,99904,2020-09-08 01:36:39.618582
19,City of Covina,1291,2633,2608,29,59,52,49032,2020-09-08 01:36:39.618582
20,City of Cudahy,1043,4284,4338,15,62,102,24347,2020-09-08 01:36:39.618582
21,City of Culver City,374,938,908,29,73,49,39865,2020-09-08 01:36:39.618582
22,City of Diamond Bar,510,887,868,9,16,11,57515,2020-09-08 01:36:39.618582
23,City of Downey,3808,3333,3257,83,73,72,114263,2020-09-08 01:36:39.618582
24,City of Duarte,515,2339,2189,27,123,77,22016,2020-09-08 01:36:39.618582
25,City of El Monte,4129,3521,3486,143,122,123,117269,2020-09-08 01:36:39.618582
26,City of El Segundo,124,739,723,1,6,3,16786,2020-09-08 01:36:39.618582
27,City of Gardena,1181,1926,1904,43,70,49,61310,2020-09-08 01:36:39.618582
28,City of Glendale,3245,1571,1444,165,80,55,206493,2020-09-08 01:36:39.618582
29,City of Glendora,1179,2234,2097,65,123,93,52764,2020-09-08 01:36:39.618582
30,City of Hawaiian Gardens,505,3441,3373,2,14,16,14676,2020-09-08 01:36:39.618582
