,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,144,690,677,2,10,10,20883,2020-08-29 00:49:14.744754
1,City of Alhambra,1129,1302,1299,23,27,18,86724,2020-08-29 00:49:14.744754
2,City of Arcadia,437,757,728,30,52,33,57754,2020-08-29 00:49:14.744754
3,City of Artesia,298,1774,1718,5,30,19,16795,2020-08-29 00:49:14.744754
4,City of Avalon,5,129,151,0,0,0,3869,2020-08-29 00:49:14.744754
5,City of Azusa,1395,2788,2800,17,34,40,50040,2020-08-29 00:49:14.744754
6,City of Baldwin Park,2581,3362,3332,75,98,112,76769,2020-08-29 00:49:14.744754
7,City of Bell,1426,3925,3949,37,102,140,36332,2020-08-29 00:49:14.744754
8,City of Bell Gardens,1731,4019,4056,21,49,77,43071,2020-08-29 00:49:14.744754
9,City of Bellflower,2168,2789,2774,56,72,82,77735,2020-08-29 00:49:14.744754
10,City of Beverly Hills,613,1776,1763,11,32,16,34520,2020-08-29 00:49:14.744754
11,City of Bradbury,13,1216,1445,0,0,0,1069,2020-08-29 00:49:14.744754
12,City of Burbank,1304,1217,1144,55,51,40,107180,2020-08-29 00:49:14.744754
13,City of Calabasas,229,942,877,12,49,41,24323,2020-08-29 00:49:14.744754
14,City of Carson,1669,1778,1727,48,51,40,93846,2020-08-29 00:49:14.744754
15,City of Cerritos,515,1029,1078,13,26,19,50067,2020-08-29 00:49:14.744754
16,City of Claremont,339,929,966,10,27,17,36484,2020-08-29 00:49:14.744754
17,City of Commerce,512,3918,3874,10,77,82,13069,2020-08-29 00:49:14.744754
18,City of Compton,3621,3624,3631,56,56,68,99904,2020-08-29 00:49:14.744754
19,City of Covina,1228,2504,2482,25,51,45,49032,2020-08-29 00:49:14.744754
20,City of Cudahy,1007,4136,4194,15,62,102,24347,2020-08-29 00:49:14.744754
21,City of Culver City,370,928,898,29,73,49,39865,2020-08-29 00:49:14.744754
22,City of Diamond Bar,490,852,834,8,14,10,57515,2020-08-29 00:49:14.744754
23,City of Downey,3667,3209,3132,78,68,67,114263,2020-08-29 00:49:14.744754
24,City of Duarte,466,2117,1996,25,114,71,22016,2020-08-29 00:49:14.744754
25,City of El Monte,3983,3396,3363,131,112,113,117269,2020-08-29 00:49:14.744754
26,City of El Segundo,121,721,704,1,6,3,16786,2020-08-29 00:49:14.744754
27,City of Gardena,1119,1825,1808,40,65,46,61310,2020-08-29 00:49:14.744754
28,City of Glendale,3070,1487,1362,161,78,54,206493,2020-08-29 00:49:14.744754
29,City of Glendora,1136,2153,2023,62,118,89,52764,2020-08-29 00:49:14.744754
30,City of Hawaiian Gardens,485,3305,3240,2,14,16,14676,2020-08-29 00:49:14.744754
31,City of Hawthorne,1780,2005,1984,39,44,51,88787,2020-08-29 00:49:14.744754
32,City of Hermosa Beach,189,961,925,4,20,27,19670,2020-08-29 00:49:14.744754
33,City of Hidden Hills,7,370,204,0,0,0,1890,2020-08-29 00:49:14.744754
34,City of Huntington Park,2595,4363,4341,40,67,88,59484,2020-08-29 00:49:14.744754
35,City of Industry,30,6865,7269,2,458,556,437,2020-08-29 00:49:14.744754
36,City of Inglewood,2602,2291,2265,82,72,78,113582,2020-08-29 00:49:14.744754
37,City of Irwindale,64,4387,4403,2,137,155,1459,2020-08-29 00:49:14.744754
38,City of La Canada Flintridge,160,773,905,7,34,21,20693,2020-08-29 00:49:14.744754
39,City of La Habra Heights,34,623,576,0,0,0,5455,2020-08-29 00:49:14.744754
40,City of La Mirada,770,1552,1483,25,50,35,49599,2020-08-29 00:49:14.744754
41,City of La Puente,1374,3376,3298,15,37,38,40697,2020-08-29 00:49:14.744754
42,City of La Verne,411,1235,1298,10,30,16,33282,2020-08-29 00:49:14.744754
43,City of Lakewood,1142,1421,1424,10,12,10,80362,2020-08-29 00:49:14.744754
44,City of Lancaster,2870,1776,1801,38,24,30,161570,2020-08-29 00:49:14.744754
45,City of Lawndale,576,1714,1660,10,30,39,33614,2020-08-29 00:49:14.744754
46,City of Lomita,222,1071,1039,8,39,26,20729,2020-08-29 00:49:14.744754
47,City of Lynwood,2936,4075,4188,87,121,190,72047,2020-08-29 00:49:14.744754
48,City of Malibu,93,718,724,3,23,11,12961,2020-08-29 00:49:14.744754
49,City of Manhattan Beach,310,861,857,4,11,10,35999,2020-08-29 00:49:14.744754
50,City of Maywood,1291,4603,4770,31,111,165,28049,2020-08-29 00:49:14.744754
51,City of Monrovia,677,1745,1740,36,93,89,38800,2020-08-29 00:49:14.744754
52,City of Montebello,2053,3189,3154,42,65,53,64375,2020-08-29 00:49:14.744754
53,City of Monterey Park,872,1401,1353,39,63,31,62262,2020-08-29 00:49:14.744754
54,City of Norwalk,2960,2750,2679,69,64,63,107622,2020-08-29 00:49:14.744754
55,City of Palmdale,3579,2251,2278,56,35,42,158968,2020-08-29 00:49:14.744754
56,City of Palos Verdes Estates,82,606,581,2,15,7,13522,2020-08-29 00:49:14.744754
57,City of Paramount,2193,3914,3863,25,45,59,56023,2020-08-29 00:49:14.744754
58,City of Pico Rivera,2191,3408,3325,65,101,87,64284,2020-08-29 00:49:14.744754
59,City of Pomona,4890,3136,3110,103,66,81,155931,2020-08-29 00:49:14.744754
60,City of Rancho Palos Verdes,268,627,650,12,28,13,42747,2020-08-29 00:49:14.744754
61,City of Redondo Beach,510,742,772,9,13,14,68697,2020-08-29 00:49:14.744754
62,City of Rolling Hills,8,412,571,0,0,0,1940,2020-08-29 00:49:14.744754
63,City of Rolling Hills Estates,39,481,602,2,25,13,8113,2020-08-29 00:49:14.744754
64,City of Rosemead,751,1357,1325,24,43,32,55350,2020-08-29 00:49:14.744754
65,City of San Dimas,463,1341,1349,12,35,25,34516,2020-08-29 00:49:14.744754
66,City of San Fernando,792,3218,3196,18,73,90,24612,2020-08-29 00:49:14.744754
67,City of San Gabriel,568,1387,1265,45,110,76,40954,2020-08-29 00:49:14.744754
68,City of San Marino,73,550,467,2,15,9,13277,2020-08-29 00:49:14.744754
69,City of Santa Clarita,2933,1331,1340,43,20,21,220424,2020-08-29 00:49:14.744754
70,City of Santa Fe Springs,497,2706,2703,5,27,23,18364,2020-08-29 00:49:14.744754
71,City of Santa Monica,770,833,783,40,43,31,92446,2020-08-29 00:49:14.744754
72,City of Sierra Madre,67,610,565,3,27,17,10989,2020-08-29 00:49:14.744754
73,City of Signal Hill,240,2034,2068,2,17,18,11797,2020-08-29 00:49:14.744754
