,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
74,City of South El Monte,731,3500,3489,14,67,75,20885,2020-08-29 00:49:14.744754
75,City of South Gate,4014,4089,4024,62,63,82,98155,2020-08-29 00:49:14.744754
76,City of South Pasadena,249,956,901,26,100,81,26053,2020-08-29 00:49:14.744754
77,City of Temple City,481,1319,1205,40,110,70,36455,2020-08-29 00:49:14.744754
78,City of Torrance,1279,857,832,64,43,31,149268,2020-08-29 00:49:14.744754
79,City of Vernon,9,4306,4463,0,0,0,209,2020-08-29 00:49:14.744754
80,City of Walnut,242,793,805,3,10,6,30532,2020-08-29 00:49:14.744754
81,City of West Covina,2566,2371,2320,54,50,43,108235,2020-08-29 00:49:14.744754
82,City of West Hollywood,492,1331,1216,5,14,9,36951,2020-08-29 00:49:14.744754
83,City of Westlake Village,28,335,383,0,0,0,8360,2020-08-29 00:49:14.744754
84,City of Whittier,1994,2281,2238,26,30,28,87432,2020-08-29 00:49:14.744754
85,Los Angeles - Adams-Normandie,239,2914,2874,3,37,38,8202,2020-08-29 00:49:14.744754
86,Los Angeles - Alsace,325,2611,2506,2,16,24,12445,2020-08-29 00:49:14.744754
87,Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40,2020-08-29 00:49:14.744754
88,Los Angeles - Angelino Heights,64,2558,2566,1,40,38,2502,2020-08-29 00:49:14.744754
89,Los Angeles - Arleta,1283,3733,3646,24,70,80,34370,2020-08-29 00:49:14.744754
90,Los Angeles - Atwater Village,215,1466,1425,5,34,27,14666,2020-08-29 00:49:14.744754
91,Los Angeles - Baldwin Hills,559,1796,1798,26,84,66,31125,2020-08-29 00:49:14.744754
92,Los Angeles - Bel Air,73,866,902,0,0,0,8429,2020-08-29 00:49:14.744754
93,Los Angeles - Beverly Crest,104,830,963,2,16,9,12525,2020-08-29 00:49:14.744754
94,Los Angeles - Beverlywood,133,1010,1062,0,0,0,13173,2020-08-29 00:49:14.744754
95,Los Angeles - Boyle Heights,3998,4602,4586,60,69,81,86884,2020-08-29 00:49:14.744754
96,Los Angeles - Brentwood,255,824,778,3,10,7,30955,2020-08-29 00:49:14.744754
97,Los Angeles - Brookside,3,516,485,0,0,0,581,2020-08-29 00:49:14.744754
98,Los Angeles - Cadillac-Corning,109,1531,1485,1,14,27,7121,2020-08-29 00:49:14.744754
99,Los Angeles - Canoga Park,1672,2561,2537,53,81,104,65289,2020-08-29 00:49:14.744754
100,Los Angeles - Carthay,194,1351,1675,14,97,46,14363,2020-08-29 00:49:14.744754
101,Los Angeles - Central,1964,5037,5109,39,100,142,38992,2020-08-29 00:49:14.744754
102,Los Angeles - Century City,108,844,987,0,0,0,12792,2020-08-29 00:49:14.744754
103,Los Angeles - Century Palms/Cove,1386,4105,4197,18,53,74,33766,2020-08-29 00:49:14.744754
104,Los Angeles - Chatsworth,595,1605,1593,34,92,58,37061,2020-08-29 00:49:14.744754
105,Los Angeles - Cheviot Hills,62,676,777,2,22,10,9171,2020-08-29 00:49:14.744754
106,Los Angeles - Chinatown,108,1346,1326,3,37,23,8021,2020-08-29 00:49:14.744754
107,Los Angeles - Cloverdale/Cochran,273,1876,1799,5,34,37,14553,2020-08-29 00:49:14.744754
108,Los Angeles - Country Club Park,272,1795,1662,22,145,108,15153,2020-08-29 00:49:14.744754
109,Los Angeles - Crenshaw District,275,1989,2009,3,22,14,13829,2020-08-29 00:49:14.744754
110,Los Angeles - Crestview,176,1548,1517,20,176,158,11368,2020-08-29 00:49:14.744754
111,Los Angeles - Del Rey,323,1079,1080,9,30,23,29936,2020-08-29 00:49:14.744754
112,Los Angeles - Downtown,684,2487,2545,13,47,38,27507,2020-08-29 00:49:14.744754
113,Los Angeles - Eagle Rock,601,1518,1464,18,45,31,39589,2020-08-29 00:49:14.744754
114,Los Angeles - East Hollywood,550,1878,1745,43,147,126,29287,2020-08-29 00:49:14.744754
115,Los Angeles - Echo Park,216,1515,1501,4,28,27,14256,2020-08-29 00:49:14.744754
116,Los Angeles - El Sereno,1110,2655,2608,31,74,71,41808,2020-08-29 00:49:14.744754
117,Los Angeles - Elysian Park,87,1523,1440,0,0,0,5712,2020-08-29 00:49:14.744754
118,Los Angeles - Elysian Valley,239,2350,2287,3,30,27,10171,2020-08-29 00:49:14.744754
119,Los Angeles - Encino,501,1109,1165,17,38,19,45172,2020-08-29 00:49:14.744754
120,Los Angeles - Exposition,73,2195,2054,1,30,29,3326,2020-08-29 00:49:14.744754
121,Los Angeles - Exposition Park,1203,2678,2722,21,47,64,44917,2020-08-29 00:49:14.744754
122,Los Angeles - Faircrest Heights,29,806,733,2,56,46,3600,2020-08-29 00:49:14.744754
123,Los Angeles - Figueroa Park Square,298,3417,3397,4,46,46,8721,2020-08-29 00:49:14.744754
124,Los Angeles - Florence-Firestone,2095,4416,4459,25,53,78,47445,2020-08-29 00:49:14.744754
125,Los Angeles - Glassell Park,615,1946,1891,13,41,34,31604,2020-08-29 00:49:14.744754
126,Los Angeles - Gramercy Place,218,2025,2069,4,37,24,10764,2020-08-29 00:49:14.744754
127,Los Angeles - Granada Hills,1045,1796,1697,62,107,77,58191,2020-08-29 00:49:14.744754
128,Los Angeles - Green Meadows,883,4106,4138,11,51,68,21505,2020-08-29 00:49:14.744754
129,Los Angeles - Hancock Park,197,1156,1189,3,18,17,17039,2020-08-29 00:49:14.744754
130,Los Angeles - Harbor City,445,1531,1520,10,34,27,29070,2020-08-29 00:49:14.744754
131,Los Angeles - Harbor Gateway,904,2073,2025,13,30,33,43600,2020-08-29 00:49:14.744754
132,Los Angeles - Harbor Pines,18,747,850,0,0,0,2409,2020-08-29 00:49:14.744754
133,Los Angeles - Harvard Heights,522,2894,2830,23,128,150,18035,2020-08-29 00:49:14.744754
134,Los Angeles - Harvard Park,1463,3857,3814,18,47,52,37935,2020-08-29 00:49:14.744754
135,Los Angeles - Highland Park,994,2054,2013,18,37,41,48391,2020-08-29 00:49:14.744754
136,Los Angeles - Historic Filipinotown,395,2848,2667,14,101,91,13870,2020-08-29 00:49:14.744754
137,Los Angeles - Hollywood,1050,1538,1393,12,18,19,68254,2020-08-29 00:49:14.744754
138,Los Angeles - Hollywood Hills,250,849,942,7,24,22,29434,2020-08-29 00:49:14.744754
139,Los Angeles - Hyde Park,729,2554,2513,14,49,41,28541,2020-08-29 00:49:14.744754
140,Los Angeles - Jefferson Park,232,2874,2849,0,0,0,8073,2020-08-29 00:49:14.744754
141,Los Angeles - Koreatown,1048,2027,1960,27,52,51,51693,2020-08-29 00:49:14.744754
142,Los Angeles - Lafayette Square,78,1711,1673,3,66,64,4559,2020-08-29 00:49:14.744754
143,Los Angeles - Lake Balboa,882,2090,2081,18,43,47,42206,2020-08-29 00:49:14.744754
144,Los Angeles - Lakeview Terrace,500,3807,3788,21,160,184,13133,2020-08-29 00:49:14.744754
145,Los Angeles - Leimert Park,273,1792,1775,7,46,32,15235,2020-08-29 00:49:14.744754
146,Los Angeles - Lincoln Heights,971,2979,2915,46,141,120,32597,2020-08-29 00:49:14.744754
147,Los Angeles - Little Armenia,371,4623,3978,51,636,517,8025,2020-08-29 00:49:14.744754
148,Los Angeles - Little Bangladesh,447,1577,1574,5,18,19,28343,2020-08-29 00:49:14.744754
149,Los Angeles - Little Tokyo,59,1883,2240,2,64,21,3133,2020-08-29 00:49:14.744754
150,Los Angeles - Longwood,108,2509,2430,0,0,0,4304,2020-08-29 00:49:14.744754
151,Los Angeles - Los Feliz,179,828,870,2,9,6,21608,2020-08-29 00:49:14.744754
152,Los Angeles - Manchester Square,178,2085,2083,3,35,27,8536,2020-08-29 00:49:14.744754
153,Los Angeles - Mandeville Canyon,20,640,928,0,0,0,3124,2020-08-29 00:49:14.744754
154,Los Angeles - Mar Vista,287,676,689,5,12,9,42471,2020-08-29 00:49:14.744754
155,Los Angeles - Marina Peninsula,30,688,733,0,0,0,4360,2020-08-29 00:49:14.744754
156,Los Angeles - Melrose,1724,2219,2181,65,84,85,77696,2020-08-29 00:49:14.744754
157,Los Angeles - Mid-city,257,1710,1664,23,153,139,15030,2020-08-29 00:49:14.744754
158,Los Angeles - Miracle Mile,152,845,788,5,28,25,17985,2020-08-29 00:49:14.744754
159,Los Angeles - Mission Hills,658,2728,2627,23,95,82,24124,2020-08-29 00:49:14.744754
160,Los Angeles - Mt. Washington,499,2067,2019,14,58,54,24145,2020-08-29 00:49:14.744754
161,Los Angeles - North Hills,1615,2623,2583,43,70,79,61575,2020-08-29 00:49:14.744754
162,Los Angeles - North Hollywood,3261,2154,2059,56,37,41,151421,2020-08-29 00:49:14.744754
163,Los Angeles - Northridge,1239,1775,1732,41,59,48,69797,2020-08-29 00:49:14.744754
164,Los Angeles - Pacific Palisades,111,521,600,4,19,9,21291,2020-08-29 00:49:14.744754
165,Los Angeles - Pacoima,3030,3936,3933,41,53,71,76979,2020-08-29 00:49:14.744754
166,Los Angeles - Palisades Highlands,21,546,651,0,0,0,3846,2020-08-29 00:49:14.744754
167,Los Angeles - Palms,497,1133,1249,29,66,89,43877,2020-08-29 00:49:14.744754
168,Los Angeles - Panorama City,2542,3378,3390,86,114,151,75250,2020-08-29 00:49:14.744754
169,Los Angeles - Park La Brea,90,663,560,1,7,8,13580,2020-08-29 00:49:14.744754
170,Los Angeles - Pico-Union,1655,3955,3973,88,210,248,41842,2020-08-29 00:49:14.744754
171,Los Angeles - Playa Del Rey,27,845,1087,0,0,0,3196,2020-08-29 00:49:14.744754
172,Los Angeles - Playa Vista,125,1142,1117,0,0,0,10947,2020-08-29 00:49:14.744754
173,Los Angeles - Porter Ranch,324,910,966,6,17,10,35588,2020-08-29 00:49:14.744754
174,Los Angeles - Rancho Park,78,1189,1385,1,15,11,6560,2020-08-29 00:49:14.744754
175,Los Angeles - Regent Square,27,971,949,0,0,0,2780,2020-08-29 00:49:14.744754
176,Los Angeles - Reseda,1936,2527,2450,74,97,87,76617,2020-08-29 00:49:14.744754
177,Los Angeles - Reseda Ranch,104,2243,2112,0,0,0,4636,2020-08-29 00:49:14.744754
178,Los Angeles - Reynier Village,37,875,932,0,0,0,4228,2020-08-29 00:49:14.744754
179,Los Angeles - San Pedro,1823,2336,2325,25,32,29,78038,2020-08-29 00:49:14.744754
180,Los Angeles - Shadow Hills,57,1283,1459,0,0,0,4442,2020-08-29 00:49:14.744754
181,Los Angeles - Sherman Oaks,920,1054,1121,19,22,19,87254,2020-08-29 00:49:14.744754
182,Los Angeles - Silverlake,577,1309,1320,17,39,34,44083,2020-08-29 00:49:14.744754
183,Los Angeles - South Carthay,104,982,1176,2,19,12,10595,2020-08-29 00:49:14.744754
184,Los Angeles - South Park,1863,4908,4986,27,71,107,37961,2020-08-29 00:49:14.744754
185,Los Angeles - St Elmo Village,130,2836,3028,8,175,264,4584,2020-08-29 00:49:14.744754
186,Los Angeles - Studio City,224,998,1106,11,49,42,22440,2020-08-29 00:49:14.744754
187,Los Angeles - Sun Valley,1391,2650,2580,22,42,43,52483,2020-08-29 00:49:14.744754
188,Los Angeles - Sunland,403,1975,1885,27,132,94,20408,2020-08-29 00:49:14.744754
189,Los Angeles - Sycamore Square,5,773,783,0,0,0,647,2020-08-29 00:49:14.744754
190,Los Angeles - Sylmar,2901,3521,3494,77,93,113,82398,2020-08-29 00:49:14.744754
191,Los Angeles - Tarzana,556,1801,1660,37,120,75,30876,2020-08-29 00:49:14.744754
192,Los Angeles - Temple-Beaudry,1126,2852,2754,26,66,75,39482,2020-08-29 00:49:14.744754
193,Los Angeles - Thai Town,146,1488,1423,0,0,0,9809,2020-08-29 00:49:14.744754
194,Los Angeles - Toluca Lake,88,1011,1217,0,0,0,8704,2020-08-29 00:49:14.744754
195,Los Angeles - Toluca Terrace,18,1378,1459,1,77,72,1306,2020-08-29 00:49:14.744754
196,Los Angeles - Toluca Woods,18,969,879,0,0,0,1858,2020-08-29 00:49:14.744754
197,Los Angeles - Tujunga,406,1460,1425,14,50,41,27810,2020-08-29 00:49:14.744754
198,Los Angeles - University Hills,49,1429,1418,1,29,19,3429,2020-08-29 00:49:14.744754
199,Los Angeles - University Park,832,3030,3699,19,69,125,27456,2020-08-29 00:49:14.744754
200,Los Angeles - Valley Glen,545,1816,1760,19,63,65,30016,2020-08-29 00:49:14.744754
201,Los Angeles - Valley Village,460,1861,1815,25,101,85,24720,2020-08-29 00:49:14.744754
202,Los Angeles - Van Nuys,2578,2766,2785,71,76,94,93194,2020-08-29 00:49:14.744754
203,Los Angeles - Venice,264,779,992,3,9,9,33885,2020-08-29 00:49:14.744754
204,Los Angeles - Vermont Knolls,667,3878,3825,13,76,93,17200,2020-08-29 00:49:14.744754
205,Los Angeles - Vermont Square,309,4036,3996,3,39,36,7657,2020-08-29 00:49:14.744754
206,Los Angeles - Vermont Vista,1741,4227,4310,24,58,87,41186,2020-08-29 00:49:14.744754
207,Los Angeles - Vernon Central,2757,5302,5412,38,73,113,51998,2020-08-29 00:49:14.744754
208,Los Angeles - Victoria Park,202,2405,2326,3,36,29,8399,2020-08-29 00:49:14.744754
209,Los Angeles - View Heights,42,1137,1121,2,54,42,3694,2020-08-29 00:49:14.744754
210,Los Angeles - Watts,1766,4138,4334,23,54,97,42674,2020-08-29 00:49:14.744754
211,Los Angeles - Wellington Square,109,2218,2212,0,0,0,4915,2020-08-29 00:49:14.744754
212,Los Angeles - West Adams,806,2917,2857,36,130,132,27630,2020-08-29 00:49:14.744754
213,Los Angeles - West Hills,468,1154,1165,30,74,45,40545,2020-08-29 00:49:14.744754
214,Los Angeles - West Los Angeles,461,1225,1223,14,37,40,37636,2020-08-29 00:49:14.744754
215,Los Angeles - West Vernon,2091,3898,3887,44,82,106,53644,2020-08-29 00:49:14.744754
216,Los Angeles - Westchester,377,731,693,15,29,26,51603,2020-08-29 00:49:14.744754
217,Los Angeles - Westlake,2231,3759,3817,137,231,267,59355,2020-08-29 00:49:14.744754
218,Los Angeles - Westwood,312,577,540,6,11,10,54109,2020-08-29 00:49:14.744754
219,Los Angeles - Wholesale District,2198,6084,5281,25,69,87,36129,2020-08-29 00:49:14.744754
220,Los Angeles - Wilmington,1601,2834,2833,15,27,37,56487,2020-08-29 00:49:14.744754
221,Los Angeles - Wilshire Center,1010,2013,1963,33,66,65,50170,2020-08-29 00:49:14.744754
222,Los Angeles - Winnetka,1107,2138,2045,16,31,29,51786,2020-08-29 00:49:14.744754
223,Los Angeles - Woodland Hills,790,1161,1148,27,40,25,68055,2020-08-29 00:49:14.744754
224,Unincorporated - Acton,60,753,844,2,25,18,7971,2020-08-29 00:49:14.744754
225,Unincorporated - Agua Dulce,24,577,631,0,0,0,4158,2020-08-29 00:49:14.744754
226,Unincorporated - Altadena,611,1401,1457,13,30,23,43620,2020-08-29 00:49:14.744754
227,Unincorporated - Anaverde,13,862,1013,0,0,0,1508,2020-08-29 00:49:14.744754
228,Unincorporated - Angeles National Forest,5,402,411,0,0,0,1245,2020-08-29 00:49:14.744754
229,Unincorporated - Arcadia,81,1015,1034,2,25,18,7981,2020-08-29 00:49:14.744754
230,Unincorporated - Athens Village,211,4309,4360,9,184,186,4897,2020-08-29 00:49:14.744754
231,Unincorporated - Athens-Westmont,1388,3270,3284,25,59,64,42442,2020-08-29 00:49:14.744754
232,Unincorporated - Avocado Heights,258,3808,3754,2,30,34,6775,2020-08-29 00:49:14.744754
233,Unincorporated - Azusa,443,2782,2698,2,13,17,15923,2020-08-29 00:49:14.744754
234,Unincorporated - Bassett,577,3894,3843,9,61,63,14817,2020-08-29 00:49:14.744754
235,Unincorporated - Bouquet Canyon,6,559,800,1,93,82,1073,2020-08-29 00:49:14.744754
236,Unincorporated - Bradbury,4,3704,303,1,926,255,108,2020-08-29 00:49:14.744754
237,Unincorporated - Canyon Country,117,1514,1596,0,0,0,7728,2020-08-29 00:49:14.744754
238,Unincorporated - Castaic,1899,6984,6358,5,18,17,27191,2020-08-29 00:49:14.744754
239,Unincorporated - Cerritos,14,2385,2295,0,0,0,587,2020-08-29 00:49:14.744754
240,Unincorporated - Claremont,21,2991,3886,1,142,73,702,2020-08-29 00:49:14.744754
241,Unincorporated - Covina,387,2301,2214,6,36,33,16819,2020-08-29 00:49:14.744754
242,Unincorporated - Covina (Charter Oak),273,2077,2059,1,8,10,13144,2020-08-29 00:49:14.744754
243,Unincorporated - Del Aire,69,1571,1556,2,46,44,4393,2020-08-29 00:49:14.744754
244,Unincorporated - Del Rey,3,943,1312,0,0,0,318,2020-08-29 00:49:14.744754
245,Unincorporated - Del Sur,10,414,474,1,41,20,2415,2020-08-29 00:49:14.744754
246,Unincorporated - Desert View Highlands,42,1685,1596,1,40,24,2493,2020-08-29 00:49:14.744754
247,Unincorporated - Duarte,116,2620,2584,4,90,114,4428,2020-08-29 00:49:14.744754
248,Unincorporated - East Covina,4,1216,1379,0,0,0,329,2020-08-29 00:49:14.744754
249,Unincorporated - East La Mirada,92,1738,1722,0,0,0,5292,2020-08-29 00:49:14.744754
250,Unincorporated - East Los Angeles,5674,4529,4532,91,73,84,125269,2020-08-29 00:49:14.744754
251,Unincorporated - East Pasadena,68,1062,1006,1,16,9,6403,2020-08-29 00:49:14.744754
252,Unincorporated - East Rancho Dominguez,600,3920,3896,10,65,75,15308,2020-08-29 00:49:14.744754
253,Unincorporated - East Whittier,75,1413,1396,0,0,0,5306,2020-08-29 00:49:14.744754
254,Unincorporated - El Camino Village,137,1558,1553,3,34,24,8791,2020-08-29 00:49:14.744754
255,Unincorporated - El Monte,5,3448,5624,0,0,0,145,2020-08-29 00:49:14.744754
256,Unincorporated - Elizabeth Lake,6,361,406,0,0,0,1661,2020-08-29 00:49:14.744754
257,Unincorporated - Florence-Firestone,3141,4854,4901,43,66,84,64705,2020-08-29 00:49:14.744754
258,Unincorporated - Glendora,12,1818,2094,0,0,0,660,2020-08-29 00:49:14.744754
259,Unincorporated - Hacienda Heights,930,1663,1650,12,21,15,55926,2020-08-29 00:49:14.744754
260,Unincorporated - Hawthorne,57,2267,2168,0,0,0,2514,2020-08-29 00:49:14.744754
261,Unincorporated - Hi Vista,6,546,585,0,0,0,1098,2020-08-29 00:49:14.744754
262,Unincorporated - Kagel/Lopez Canyons,30,2125,2673,1,71,113,1412,2020-08-29 00:49:14.744754
263,Unincorporated - La Crescenta-Montrose,155,783,792,2,10,5,19801,2020-08-29 00:49:14.744754
264,Unincorporated - La Rambla,75,3614,2911,12,578,381,2075,2020-08-29 00:49:14.744754
265,Unincorporated - La Verne,33,1618,1956,0,0,0,2040,2020-08-29 00:49:14.744754
266,Unincorporated - Ladera Heights,85,1202,1159,3,42,19,7071,2020-08-29 00:49:14.744754
267,Unincorporated - Lake Hughes,2,299,328,0,0,0,668,2020-08-29 00:49:14.744754
268,Unincorporated - Lake Los Angeles,193,1485,1483,4,31,44,12994,2020-08-29 00:49:14.744754
269,Unincorporated - Lake Manor,24,1461,1547,0,0,0,1643,2020-08-29 00:49:14.744754
270,Unincorporated - Lennox,638,2830,2817,4,18,34,22542,2020-08-29 00:49:14.744754
271,Unincorporated - Leona Valley,16,914,979,0,0,0,1751,2020-08-29 00:49:14.744754
272,Unincorporated - Littlerock,78,1940,2006,0,0,0,4021,2020-08-29 00:49:14.744754
273,Unincorporated - Littlerock/Juniper Hills,8,617,852,0,0,0,1297,2020-08-29 00:49:14.744754
274,Unincorporated - Littlerock/Pearblossom,78,2185,2275,0,0,0,3569,2020-08-29 00:49:14.744754
275,Unincorporated - Llano,3,342,355,0,0,0,877,2020-08-29 00:49:14.744754
276,Unincorporated - Marina del Rey,65,691,533,1,11,13,9411,2020-08-29 00:49:14.744754
277,Unincorporated - Monrovia,74,1907,1987,0,0,0,3881,2020-08-29 00:49:14.744754
278,Unincorporated - Newhall,6,2727,2283,0,0,0,220,2020-08-29 00:49:14.744754
279,Unincorporated - North Lancaster,18,1502,1967,0,0,0,1198,2020-08-29 00:49:14.744754
280,Unincorporated - North Whittier,185,2213,2183,9,108,95,8360,2020-08-29 00:49:14.744754
281,Unincorporated - Northeast San Gabriel,308,1281,1322,8,33,29,24036,2020-08-29 00:49:14.744754
282,Unincorporated - Palmdale,21,2494,2719,0,0,0,842,2020-08-29 00:49:14.744754
283,Unincorporated - Palos Verdes Peninsula,3,483,729,0,0,0,621,2020-08-29 00:49:14.744754
284,Unincorporated - Pearblossom/Llano,19,971,863,1,51,20,1956,2020-08-29 00:49:14.744754
285,Unincorporated - Pellissier Village,25,4039,3983,0,0,0,619,2020-08-29 00:49:14.744754
286,Unincorporated - Pomona,14,722,1842,1,52,86,1938,2020-08-29 00:49:14.744754
287,Unincorporated - Quartz Hill,144,1116,1066,11,85,63,12906,2020-08-29 00:49:14.744754
288,Unincorporated - Rancho Dominguez,71,2668,2618,2,75,35,2661,2020-08-29 00:49:14.744754
289,Unincorporated - Roosevelt,8,859,819,0,0,0,931,2020-08-29 00:49:14.744754
290,Unincorporated - Rosewood,23,1788,2080,0,0,0,1286,2020-08-29 00:49:14.744754
291,Unincorporated - Rosewood/East Gardena,14,1174,1074,1,84,40,1193,2020-08-29 00:49:14.744754
292,Unincorporated - Rowland Heights,591,1158,1164,12,24,17,51022,2020-08-29 00:49:14.744754
293,Unincorporated - San Jose Hills,641,3170,3129,9,45,46,20221,2020-08-29 00:49:14.744754
