,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,157,752,740,1,5,5,20883,2020-09-17 16:06:34.808592
1,City of Alhambra,1210,1395,1386,27,31,22,86724,2020-09-17 16:06:34.808592
2,City of Arcadia,469,812,780,33,57,36,57754,2020-09-17 16:06:34.808592
3,City of Artesia,354,2108,2015,8,48,34,16795,2020-09-17 16:06:34.808592
4,City of Avalon,6,155,174,0,0,0,3869,2020-09-17 16:06:34.808592
5,City of Azusa,1476,2950,2963,20,40,48,50040,2020-09-17 16:06:34.808592
6,City of Baldwin Park,2829,3685,3653,83,108,124,76769,2020-09-17 16:06:34.808592
7,City of Bell,1532,4217,4247,41,113,150,36332,2020-09-17 16:06:34.808592
8,City of Bell Gardens,1851,4298,4345,21,49,77,43071,2020-09-17 16:06:34.808592
9,City of Bellflower,2294,2951,2935,60,77,88,77735,2020-09-17 16:06:34.808592
10,City of Beverly Hills,654,1895,1876,12,35,17,34520,2020-09-17 16:06:34.808592
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-17 16:06:34.808592
12,City of Burbank,1428,1332,1258,57,53,41,107180,2020-09-17 16:06:34.808592
13,City of Calabasas,253,1040,964,12,49,41,24323,2020-09-17 16:06:34.808592
14,City of Carson,1781,1898,1841,58,62,48,93846,2020-09-17 16:06:34.808592
15,City of Cerritos,542,1083,1136,15,30,23,50067,2020-09-17 16:06:34.808592
16,City of Claremont,365,1000,1030,10,27,17,36484,2020-09-17 16:06:34.808592
17,City of Commerce,553,4231,4176,11,84,88,13069,2020-09-17 16:06:34.808592
18,City of Compton,3901,3905,3913,68,68,83,99904,2020-09-17 16:06:34.808592
19,City of Covina,1335,2723,2697,35,71,65,49032,2020-09-17 16:06:34.808592
20,City of Cudahy,1058,4346,4405,15,62,102,24347,2020-09-17 16:06:34.808592
21,City of Culver City,377,946,917,29,73,49,39865,2020-09-17 16:06:34.808592
22,City of Diamond Bar,527,916,895,9,16,11,57515,2020-09-17 16:06:34.808592
23,City of Downey,3916,3427,3352,83,73,71,114263,2020-09-17 16:06:34.808592
24,City of Duarte,531,2412,2261,29,132,84,22016,2020-09-17 16:06:34.808592
25,City of El Monte,4218,3597,3560,154,131,132,117269,2020-09-17 16:06:34.808592
26,City of El Segundo,129,768,753,1,6,3,16786,2020-09-17 16:06:34.808592
27,City of Gardena,1210,1974,1955,48,78,55,61310,2020-09-17 16:06:34.808592
28,City of Glendale,3440,1666,1537,176,85,59,206493,2020-09-17 16:06:34.808592
29,City of Glendora,1212,2297,2149,67,127,95,52764,2020-09-17 16:06:34.808592
30,City of Hawaiian Gardens,520,3543,3469,2,14,16,14676,2020-09-17 16:06:34.808592
31,City of Hawthorne,1889,2128,2107,42,47,54,88787,2020-09-17 16:06:34.808592
32,City of Hermosa Beach,202,1027,991,4,20,27,19670,2020-09-17 16:06:34.808592
33,City of Hidden Hills,6,317,160,0,0,0,1890,2020-09-17 16:06:34.808592
34,City of Huntington Park,2791,4692,4670,54,91,118,59484,2020-09-17 16:06:34.808592
35,City of Industry,36,8238,8236,2,458,556,437,2020-09-17 16:06:34.808592
36,City of Inglewood,2779,2447,2417,89,78,84,113582,2020-09-17 16:06:34.808592
37,City of Irwindale,69,4729,4695,2,137,155,1459,2020-09-17 16:06:34.808592
38,City of La Canada Flintridge,174,841,982,7,34,21,20693,2020-09-17 16:06:34.808592
39,City of La Habra Heights,40,733,688,0,0,0,5455,2020-09-17 16:06:34.808592
40,City of La Mirada,815,1643,1576,27,54,37,49599,2020-09-17 16:06:34.808592
41,City of La Puente,1441,3541,3464,18,44,44,40697,2020-09-17 16:06:34.808592
42,City of La Verne,442,1328,1390,10,30,16,33282,2020-09-17 16:06:34.808592
43,City of Lakewood,1226,1526,1531,13,16,13,80362,2020-09-17 16:06:34.808592
44,City of Lancaster,3176,1966,1990,47,29,36,161570,2020-09-17 16:06:34.808592
45,City of Lawndale,616,1833,1777,10,30,39,33614,2020-09-17 16:06:34.808592
46,City of Lomita,237,1143,1111,9,43,30,20729,2020-09-17 16:06:34.808592
47,City of Lynwood,3149,4371,4488,96,133,207,72047,2020-09-17 16:06:34.808592
48,City of Malibu,101,779,792,3,23,11,12961,2020-09-17 16:06:34.808592
49,City of Manhattan Beach,345,958,958,5,14,13,35999,2020-09-17 16:06:34.808592
50,City of Maywood,1397,4981,5153,33,118,177,28049,2020-09-17 16:06:34.808592
51,City of Monrovia,727,1874,1872,37,95,91,38800,2020-09-17 16:06:34.808592
52,City of Montebello,2222,3452,3418,48,75,60,64375,2020-09-17 16:06:34.808592
53,City of Monterey Park,935,1502,1445,48,77,37,62262,2020-09-17 16:06:34.808592
54,City of Norwalk,3118,2897,2824,73,68,67,107622,2020-09-17 16:06:34.808592
55,City of Palmdale,3908,2458,2489,69,43,53,158968,2020-09-17 16:06:34.808592
