,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,156,747,738,2,10,10,20883,2020-09-09 21:01:14.609247
1,City of Alhambra,1177,1357,1352,24,28,19,86724,2020-09-09 21:01:14.609247
2,City of Arcadia,458,793,761,32,55,35,57754,2020-09-09 21:01:14.609247
3,City of Artesia,306,1822,1757,6,36,25,16795,2020-09-09 21:01:14.609247
4,City of Avalon,5,129,151,0,0,0,3869,2020-09-09 21:01:14.609247
5,City of Azusa,1452,2902,2916,18,36,43,50040,2020-09-09 21:01:14.609247
6,City of Baldwin Park,2755,3589,3557,80,104,120,76769,2020-09-09 21:01:14.609247
7,City of Bell,1483,4082,4108,40,110,147,36332,2020-09-09 21:01:14.609247
8,City of Bell Gardens,1815,4214,4258,21,49,77,43071,2020-09-09 21:01:14.609247
9,City of Bellflower,2253,2898,2881,58,75,84,77735,2020-09-09 21:01:14.609247
10,City of Beverly Hills,627,1816,1797,12,35,17,34520,2020-09-09 21:01:14.609247
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-09 21:01:14.609247
12,City of Burbank,1381,1288,1216,57,53,41,107180,2020-09-09 21:01:14.609247
13,City of Calabasas,245,1007,932,12,49,41,24323,2020-09-09 21:01:14.609247
14,City of Carson,1745,1859,1803,54,58,45,93846,2020-09-09 21:01:14.609247
15,City of Cerritos,537,1073,1127,14,28,22,50067,2020-09-09 21:01:14.609247
16,City of Claremont,358,981,1016,10,27,17,36484,2020-09-09 21:01:14.609247
17,City of Commerce,545,4170,4120,10,77,82,13069,2020-09-09 21:01:14.609247
18,City of Compton,3806,3810,3819,65,65,80,99904,2020-09-09 21:01:14.609247
19,City of Covina,1306,2664,2642,29,59,52,49032,2020-09-09 21:01:14.609247
20,City of Cudahy,1048,4304,4361,15,62,102,24347,2020-09-09 21:01:14.609247
21,City of Culver City,373,936,904,29,73,49,39865,2020-09-09 21:01:14.609247
22,City of Diamond Bar,513,892,873,9,16,11,57515,2020-09-09 21:01:14.609247
23,City of Downey,3825,3348,3272,82,72,71,114263,2020-09-09 21:01:14.609247
24,City of Duarte,517,2348,2197,28,127,81,22016,2020-09-09 21:01:14.609247
25,City of El Monte,4152,3541,3505,145,124,124,117269,2020-09-09 21:01:14.609247
26,City of El Segundo,125,745,730,1,6,3,16786,2020-09-09 21:01:14.609247
27,City of Gardena,1192,1944,1923,44,72,50,61310,2020-09-09 21:01:14.609247
28,City of Glendale,3267,1582,1454,168,81,56,206493,2020-09-09 21:01:14.609247
29,City of Glendora,1191,2257,2117,65,123,93,52764,2020-09-09 21:01:14.609247
30,City of Hawaiian Gardens,507,3455,3386,2,14,16,14676,2020-09-09 21:01:14.609247
