,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,142,680,663,2,10,10,20883,2020-08-27 22:56:30.555436
1,City of Alhambra,1122,1294,1290,23,27,18,86724,2020-08-27 22:56:30.555436
2,City of Arcadia,436,755,726,30,52,33,57754,2020-08-27 22:56:30.555436
3,City of Artesia,294,1751,1700,4,24,15,16795,2020-08-27 22:56:30.555436
4,City of Avalon,5,129,151,0,0,0,3869,2020-08-27 22:56:30.555436
5,City of Azusa,1380,2758,2769,17,34,40,50040,2020-08-27 22:56:30.555436
6,City of Baldwin Park,2566,3342,3312,75,98,112,76769,2020-08-27 22:56:30.555436
7,City of Bell,1419,3906,3929,37,102,140,36332,2020-08-27 22:56:30.555436
8,City of Bell Gardens,1727,4010,4049,21,49,77,43071,2020-08-27 22:56:30.555436
9,City of Bellflower,2149,2765,2750,56,72,82,77735,2020-08-27 22:56:30.555436
10,City of Beverly Hills,609,1764,1754,11,32,16,34520,2020-08-27 22:56:30.555436
11,City of Bradbury,13,1216,1445,0,0,0,1069,2020-08-27 22:56:30.555436
12,City of Burbank,1294,1207,1135,55,51,40,107180,2020-08-27 22:56:30.555436
13,City of Calabasas,229,942,877,12,49,41,24323,2020-08-27 22:56:30.555436
14,City of Carson,1656,1765,1712,48,51,40,93846,2020-08-27 22:56:30.555436
15,City of Cerritos,512,1023,1073,13,26,19,50067,2020-08-27 22:56:30.555436
16,City of Claremont,337,924,958,10,27,17,36484,2020-08-27 22:56:30.555436
17,City of Commerce,512,3918,3874,10,77,82,13069,2020-08-27 22:56:30.555436
18,City of Compton,3614,3617,3621,56,56,68,99904,2020-08-27 22:56:30.555436
19,City of Covina,1224,2496,2475,24,49,44,49032,2020-08-27 22:56:30.555436
20,City of Cudahy,1002,4116,4174,15,62,102,24347,2020-08-27 22:56:30.555436
21,City of Culver City,369,926,896,29,73,49,39865,2020-08-27 22:56:30.555436
22,City of Diamond Bar,488,848,829,8,14,10,57515,2020-08-27 22:56:30.555436
23,City of Downey,3651,3195,3119,77,67,66,114263,2020-08-27 22:56:30.555436
24,City of Duarte,461,2094,1971,25,114,71,22016,2020-08-27 22:56:30.555436
25,City of El Monte,3964,3380,3348,130,111,112,117269,2020-08-27 22:56:30.555436
26,City of El Segundo,121,721,704,1,6,3,16786,2020-08-27 22:56:30.555436
27,City of Gardena,1110,1810,1793,39,64,45,61310,2020-08-27 22:56:30.555436
28,City of Glendale,3038,1471,1348,161,78,54,206493,2020-08-27 22:56:30.555436
29,City of Glendora,1131,2144,2015,62,118,89,52764,2020-08-27 22:56:30.555436
30,City of Hawaiian Gardens,483,3291,3224,2,14,16,14676,2020-08-27 22:56:30.555436
31,City of Hawthorne,1771,1995,1975,39,44,51,88787,2020-08-27 22:56:30.555436
32,City of Hermosa Beach,186,946,908,4,20,27,19670,2020-08-27 22:56:30.555436
33,City of Hidden Hills,7,370,204,0,0,0,1890,2020-08-27 22:56:30.555436
34,City of Huntington Park,2578,4334,4315,40,67,88,59484,2020-08-27 22:56:30.555436
35,City of Industry,30,6865,7269,2,458,556,437,2020-08-27 22:56:30.555436
36,City of Inglewood,2585,2276,2251,82,72,78,113582,2020-08-27 22:56:30.555436
37,City of Irwindale,63,4318,4336,2,137,155,1459,2020-08-27 22:56:30.555436
38,City of La Canada Flintridge,160,773,905,7,34,21,20693,2020-08-27 22:56:30.555436
39,City of La Habra Heights,33,605,561,0,0,0,5455,2020-08-27 22:56:30.555436
40,City of La Mirada,770,1552,1483,25,50,35,49599,2020-08-27 22:56:30.555436
41,City of La Puente,1365,3354,3276,15,37,38,40697,2020-08-27 22:56:30.555436
42,City of La Verne,408,1226,1290,10,30,16,33282,2020-08-27 22:56:30.555436
43,City of Lakewood,1130,1406,1409,10,12,10,80362,2020-08-27 22:56:30.555436
44,City of Lancaster,2844,1760,1785,38,24,30,161570,2020-08-27 22:56:30.555436
45,City of Lawndale,576,1714,1660,10,30,39,33614,2020-08-27 22:56:30.555436
46,City of Lomita,220,1061,1034,8,39,26,20729,2020-08-27 22:56:30.555436
47,City of Lynwood,2921,4054,4168,86,119,187,72047,2020-08-27 22:56:30.555436
48,City of Malibu,93,718,724,3,23,11,12961,2020-08-27 22:56:30.555436
49,City of Manhattan Beach,310,861,857,4,11,10,35999,2020-08-27 22:56:30.555436
50,City of Maywood,1285,4581,4752,31,111,165,28049,2020-08-27 22:56:30.555436
51,City of Monrovia,674,1737,1732,36,93,89,38800,2020-08-27 22:56:30.555436
52,City of Montebello,2037,3164,3129,42,65,53,64375,2020-08-27 22:56:30.555436
53,City of Monterey Park,865,1389,1344,37,59,30,62262,2020-08-27 22:56:30.555436
54,City of Norwalk,2949,2740,2669,68,63,62,107622,2020-08-27 22:56:30.555436
