,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,158,757,744,1,5,5,20883,2020-09-20 20:40:24.066972
1,City of Alhambra,1224,1411,1403,27,31,22,86724,2020-09-20 20:40:24.066972
2,City of Arcadia,478,828,794,33,57,36,57754,2020-09-20 20:40:24.066972
3,City of Artesia,359,2138,2045,8,48,34,16795,2020-09-20 20:40:24.066972
4,City of Avalon,6,155,174,0,0,0,3869,2020-09-20 20:40:24.066972
5,City of Azusa,1496,2990,3002,22,44,53,50040,2020-09-20 20:40:24.066972
6,City of Baldwin Park,2890,3765,3731,83,108,124,76769,2020-09-20 20:40:24.066972
7,City of Bell,1562,4299,4326,41,113,150,36332,2020-09-20 20:40:24.066972
8,City of Bell Gardens,1894,4397,4444,21,49,77,43071,2020-09-20 20:40:24.066972
9,City of Bellflower,2340,3010,2994,61,78,90,77735,2020-09-20 20:40:24.066972
10,City of Beverly Hills,665,1926,1903,12,35,17,34520,2020-09-20 20:40:24.066972
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-20 20:40:24.066972
12,City of Burbank,1481,1382,1307,57,53,41,107180,2020-09-20 20:40:24.066972
13,City of Calabasas,261,1073,989,12,49,41,24323,2020-09-20 20:40:24.066972
14,City of Carson,1812,1931,1876,60,64,50,93846,2020-09-20 20:40:24.066972
15,City of Cerritos,555,1109,1160,16,32,24,50067,2020-09-20 20:40:24.066972
16,City of Claremont,377,1033,1067,10,27,17,36484,2020-09-20 20:40:24.066972
17,City of Commerce,569,4354,4301,11,84,88,13069,2020-09-20 20:40:24.066972
18,City of Compton,3964,3968,3978,69,69,84,99904,2020-09-20 20:40:24.066972
19,City of Covina,1355,2764,2734,37,75,68,49032,2020-09-20 20:40:24.066972
20,City of Cudahy,1068,4387,4451,15,62,102,24347,2020-09-20 20:40:24.066972
21,City of Culver City,383,961,931,29,73,49,39865,2020-09-20 20:40:24.066972
22,City of Diamond Bar,539,937,915,9,16,11,57515,2020-09-20 20:40:24.066972
23,City of Downey,4002,3502,3428,84,74,72,114263,2020-09-20 20:40:24.066972
24,City of Duarte,541,2457,2299,29,132,84,22016,2020-09-20 20:40:24.066972
25,City of El Monte,4269,3640,3602,156,133,133,117269,2020-09-20 20:40:24.066972
26,City of El Segundo,130,774,760,1,6,3,16786,2020-09-20 20:40:24.066972
27,City of Gardena,1225,1998,1981,48,78,55,61310,2020-09-20 20:40:24.066972
28,City of Glendale,3546,1717,1591,174,84,58,206493,2020-09-20 20:40:24.066972
29,City of Glendora,1233,2337,2185,68,129,96,52764,2020-09-20 20:40:24.066972
30,City of Hawaiian Gardens,529,3605,3538,2,14,16,14676,2020-09-20 20:40:24.066972
31,City of Hawthorne,1916,2158,2136,43,48,55,88787,2020-09-20 20:40:24.066972
32,City of Hermosa Beach,207,1052,1030,4,20,27,19670,2020-09-20 20:40:24.066972
33,City of Hidden Hills,7,370,203,0,0,0,1890,2020-09-20 20:40:24.066972
34,City of Huntington Park,2842,4778,4758,54,91,118,59484,2020-09-20 20:40:24.066972
35,City of Industry,36,8238,8236,2,458,556,437,2020-09-20 20:40:24.066972
36,City of Inglewood,2805,2470,2439,89,78,84,113582,2020-09-20 20:40:24.066972
37,City of Irwindale,69,4729,4695,2,137,155,1459,2020-09-20 20:40:24.066972
38,City of La Canada Flintridge,177,855,995,7,34,21,20693,2020-09-20 20:40:24.066972
39,City of La Habra Heights,42,770,718,0,0,0,5455,2020-09-20 20:40:24.066972
40,City of La Mirada,830,1673,1601,26,52,35,49599,2020-09-20 20:40:24.066972
41,City of La Puente,1466,3602,3528,18,44,44,40697,2020-09-20 20:40:24.066972
42,City of La Verne,455,1367,1431,10,30,16,33282,2020-09-20 20:40:24.066972
43,City of Lakewood,1256,1563,1569,14,17,15,80362,2020-09-20 20:40:24.066972
44,City of Lancaster,3270,2024,2053,51,32,40,161570,2020-09-20 20:40:24.066972
45,City of Lawndale,623,1853,1797,10,30,39,33614,2020-09-20 20:40:24.066972
46,City of Lomita,237,1143,1111,9,43,30,20729,2020-09-20 20:40:24.066972
47,City of Lynwood,3205,4448,4562,97,135,207,72047,2020-09-20 20:40:24.066972
48,City of Malibu,101,779,792,3,23,11,12961,2020-09-20 20:40:24.066972
49,City of Manhattan Beach,353,981,979,5,14,13,35999,2020-09-20 20:40:24.066972
50,City of Maywood,1417,5052,5218,33,118,177,28049,2020-09-20 20:40:24.066972
51,City of Monrovia,736,1897,1897,38,98,93,38800,2020-09-20 20:40:24.066972
52,City of Montebello,2261,3512,3479,48,75,60,64375,2020-09-20 20:40:24.066972
53,City of Monterey Park,944,1516,1460,47,75,36,62262,2020-09-20 20:40:24.066972
54,City of Norwalk,3181,2956,2884,75,70,69,107622,2020-09-20 20:40:24.066972
55,City of Palmdale,3991,2511,2541,69,43,53,158968,2020-09-20 20:40:24.066972
56,City of Palos Verdes Estates,94,695,645,2,15,7,13522,2020-09-20 20:40:24.066972
57,City of Paramount,2346,4188,4133,28,50,66,56023,2020-09-20 20:40:24.066972
58,City of Pico Rivera,2378,3699,3613,73,114,96,64284,2020-09-20 20:40:24.066972
59,City of Pomona,5340,3425,3396,122,78,97,155931,2020-09-20 20:40:24.066972
60,City of Rancho Palos Verdes,293,685,714,13,30,13,42747,2020-09-20 20:40:24.066972
61,City of Redondo Beach,545,793,830,10,15,15,68697,2020-09-20 20:40:24.066972
62,City of Rolling Hills,11,567,673,0,0,0,1940,2020-09-20 20:40:24.066972
63,City of Rolling Hills Estates,41,505,621,2,25,13,8113,2020-09-20 20:40:24.066972
64,City of Rosemead,817,1476,1443,28,51,37,55350,2020-09-20 20:40:24.066972
65,City of San Dimas,514,1489,1477,14,41,31,34516,2020-09-20 20:40:24.066972
66,City of San Fernando,893,3628,3585,18,73,90,24612,2020-09-20 20:40:24.066972
67,City of San Gabriel,626,1529,1398,58,142,98,40954,2020-09-20 20:40:24.066972
68,City of San Marino,87,655,562,2,15,9,13277,2020-09-20 20:40:24.066972
69,City of Santa Clarita,3325,1508,1518,46,21,23,220424,2020-09-20 20:40:24.066972
70,City of Santa Fe Springs,553,3011,3028,4,22,20,18364,2020-09-20 20:40:24.066972
71,City of Santa Monica,851,921,873,41,44,32,92446,2020-09-20 20:40:24.066972
72,City of Sierra Madre,73,664,634,3,27,17,10989,2020-09-20 20:40:24.066972
73,City of Signal Hill,269,2280,2304,3,25,23,11797,2020-09-20 20:40:24.066972
74,City of South El Monte,785,3759,3741,15,72,81,20885,2020-09-20 20:40:24.066972
75,City of South Gate,4341,4423,4356,66,67,86,98155,2020-09-20 20:40:24.066972
76,City of South Pasadena,271,1040,984,26,100,81,26053,2020-09-20 20:40:24.066972
77,City of Temple City,515,1413,1292,40,110,70,36455,2020-09-20 20:40:24.066972
78,City of Torrance,1397,936,917,67,45,32,149268,2020-09-20 20:40:24.066972
79,City of Vernon,12,5742,6077,0,0,0,209,2020-09-20 20:40:24.066972
80,City of Walnut,259,848,865,4,13,8,30532,2020-09-20 20:40:24.066972
81,City of West Covina,2802,2589,2536,60,55,48,108235,2020-09-20 20:40:24.066972
82,City of West Hollywood,548,1483,1387,5,14,9,36951,2020-09-20 20:40:24.066972
83,City of Westlake Village,32,383,430,0,0,0,8360,2020-09-20 20:40:24.066972
84,City of Whittier,2203,2520,2477,33,38,35,87432,2020-09-20 20:40:24.066972
85,Los Angeles - Adams-Normandie,262,3194,3145,4,49,48,8202,2020-09-20 20:40:24.066972
86,Los Angeles - Alsace,364,2925,2798,3,24,34,12445,2020-09-20 20:40:24.066972
87,Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40,2020-09-20 20:40:24.066972
88,Los Angeles - Angelino Heights,75,2998,3114,1,40,38,2502,2020-09-20 20:40:24.066972
89,Los Angeles - Arleta,1418,4126,4030,25,73,84,34370,2020-09-20 20:40:24.066972
90,Los Angeles - Atwater Village,235,1602,1556,7,48,36,14666,2020-09-20 20:40:24.066972
91,Los Angeles - Baldwin Hills,609,1957,1964,26,84,66,31125,2020-09-20 20:40:24.066972
92,Los Angeles - Bel Air,80,949,1003,0,0,0,8429,2020-09-20 20:40:24.066972
93,Los Angeles - Beverly Crest,118,942,1087,2,16,9,12525,2020-09-20 20:40:24.066972
94,Los Angeles - Beverlywood,151,1146,1202,0,0,0,13173,2020-09-20 20:40:24.066972
95,Los Angeles - Boyle Heights,4193,4826,4808,67,77,90,86884,2020-09-20 20:40:24.066972
96,Los Angeles - Brentwood,287,927,874,3,10,7,30955,2020-09-20 20:40:24.066972
97,Los Angeles - Brookside,3,516,485,0,0,0,581,2020-09-20 20:40:24.066972
98,Los Angeles - Cadillac-Corning,128,1798,1751,1,14,27,7121,2020-09-20 20:40:24.066972
99,Los Angeles - Canoga Park,1832,2806,2780,56,86,109,65289,2020-09-20 20:40:24.066972
100,Los Angeles - Carthay,208,1448,1893,15,104,52,14363,2020-09-20 20:40:24.066972
101,Los Angeles - Central,2132,5468,5557,40,103,150,38992,2020-09-20 20:40:24.066972
102,Los Angeles - Century City,114,891,1045,0,0,0,12792,2020-09-20 20:40:24.066972
103,Los Angeles - Century Palms/Cove,1471,4356,4451,22,65,95,33766,2020-09-20 20:40:24.066972
104,Los Angeles - Chatsworth,659,1778,1782,35,94,61,37061,2020-09-20 20:40:24.066972
105,Los Angeles - Cheviot Hills,69,752,838,2,22,10,9171,2020-09-20 20:40:24.066972
106,Los Angeles - Chinatown,115,1434,1420,3,37,23,8021,2020-09-20 20:40:24.066972
107,Los Angeles - Cloverdale/Cochran,291,2000,1925,5,34,37,14553,2020-09-20 20:40:24.066972
108,Los Angeles - Country Club Park,337,2224,2036,24,158,119,15153,2020-09-20 20:40:24.066972
109,Los Angeles - Crenshaw District,297,2148,2153,3,22,14,13829,2020-09-20 20:40:24.066972
110,Los Angeles - Crestview,189,1663,1640,20,176,158,11368,2020-09-20 20:40:24.066972
111,Los Angeles - Del Rey,347,1159,1156,10,33,26,29936,2020-09-20 20:40:24.066972
112,Los Angeles - Downtown,785,2854,3003,15,55,44,27507,2020-09-20 20:40:24.066972
113,Los Angeles - Eagle Rock,639,1614,1547,24,61,42,39589,2020-09-20 20:40:24.066972
114,Los Angeles - East Hollywood,605,2066,1928,43,147,126,29287,2020-09-20 20:40:24.066972
115,Los Angeles - Echo Park,243,1705,1689,4,28,27,14256,2020-09-20 20:40:24.066972
116,Los Angeles - El Sereno,1204,2880,2823,32,77,73,41808,2020-09-20 20:40:24.066972
117,Los Angeles - Elysian Park,95,1663,1563,0,0,0,5712,2020-09-20 20:40:24.066972
