,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,155,742,733,1,5,5,20883,2020-09-12 11:16:35.255316
1,City of Alhambra,1191,1373,1365,26,30,21,86724,2020-09-12 11:16:35.255316
2,City of Arcadia,461,798,766,32,55,35,57754,2020-09-12 11:16:35.255316
3,City of Artesia,312,1858,1786,7,42,30,16795,2020-09-12 11:16:35.255316
4,City of Avalon,5,129,151,0,0,0,3869,2020-09-12 11:16:35.255316
5,City of Azusa,1459,2916,2933,19,38,45,50040,2020-09-12 11:16:35.255316
6,City of Baldwin Park,2783,3625,3592,80,104,120,76769,2020-09-12 11:16:35.255316
7,City of Bell,1500,4129,4157,40,110,147,36332,2020-09-12 11:16:35.255316
8,City of Bell Gardens,1825,4237,4283,21,49,77,43071,2020-09-12 11:16:35.255316
9,City of Bellflower,2271,2921,2904,58,75,84,77735,2020-09-12 11:16:35.255316
10,City of Beverly Hills,638,1848,1829,12,35,17,34520,2020-09-12 11:16:35.255316
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-12 11:16:35.255316
12,City of Burbank,1395,1302,1228,57,53,41,107180,2020-09-12 11:16:35.255316
13,City of Calabasas,247,1016,938,12,49,41,24323,2020-09-12 11:16:35.255316
14,City of Carson,1760,1875,1818,56,60,47,93846,2020-09-12 11:16:35.255316
15,City of Cerritos,540,1079,1133,14,28,22,50067,2020-09-12 11:16:35.255316
16,City of Claremont,361,989,1020,10,27,17,36484,2020-09-12 11:16:35.255316
17,City of Commerce,548,4193,4144,11,84,88,13069,2020-09-12 11:16:35.255316
18,City of Compton,3839,3843,3851,66,66,80,99904,2020-09-12 11:16:35.255316
19,City of Covina,1314,2680,2657,30,61,54,49032,2020-09-12 11:16:35.255316
20,City of Cudahy,1055,4333,4388,15,62,102,24347,2020-09-12 11:16:35.255316
21,City of Culver City,374,938,906,29,73,49,39865,2020-09-12 11:16:35.255316
22,City of Diamond Bar,514,894,875,9,16,11,57515,2020-09-12 11:16:35.255316
23,City of Downey,3864,3382,3306,82,72,71,114263,2020-09-12 11:16:35.255316
24,City of Duarte,521,2366,2215,28,127,81,22016,2020-09-12 11:16:35.255316
25,City of El Monte,4181,3565,3530,151,129,129,117269,2020-09-12 11:16:35.255316
26,City of El Segundo,127,757,741,1,6,3,16786,2020-09-12 11:16:35.255316
27,City of Gardena,1198,1954,1933,46,75,52,61310,2020-09-12 11:16:35.255316
28,City of Glendale,3332,1614,1486,172,83,57,206493,2020-09-12 11:16:35.255316
29,City of Glendora,1202,2278,2132,66,125,94,52764,2020-09-12 11:16:35.255316
30,City of Hawaiian Gardens,512,3489,3421,2,14,16,14676,2020-09-12 11:16:35.255316
31,City of Hawthorne,1869,2105,2085,42,47,54,88787,2020-09-12 11:16:35.255316
32,City of Hermosa Beach,200,1017,986,4,20,27,19670,2020-09-12 11:16:35.255316
33,City of Hidden Hills,6,317,160,0,0,0,1890,2020-09-12 11:16:35.255316
34,City of Huntington Park,2748,4620,4594,50,84,109,59484,2020-09-12 11:16:35.255316
35,City of Industry,36,8238,8236,2,458,556,437,2020-09-12 11:16:35.255316
36,City of Inglewood,2742,2414,2385,86,76,81,113582,2020-09-12 11:16:35.255316
37,City of Irwindale,68,4661,4647,2,137,155,1459,2020-09-12 11:16:35.255316
38,City of La Canada Flintridge,172,831,965,7,34,21,20693,2020-09-12 11:16:35.255316
39,City of La Habra Heights,39,715,681,0,0,0,5455,2020-09-12 11:16:35.255316
40,City of La Mirada,804,1621,1554,26,52,36,49599,2020-09-12 11:16:35.255316
41,City of La Puente,1434,3524,3448,17,42,42,40697,2020-09-12 11:16:35.255316
42,City of La Verne,435,1307,1367,10,30,16,33282,2020-09-12 11:16:35.255316
43,City of Lakewood,1204,1498,1502,13,16,13,80362,2020-09-12 11:16:35.255316
44,City of Lancaster,3088,1911,1933,45,28,34,161570,2020-09-12 11:16:35.255316
45,City of Lawndale,600,1785,1729,10,30,39,33614,2020-09-12 11:16:35.255316
46,City of Lomita,236,1138,1105,9,43,30,20729,2020-09-12 11:16:35.255316
47,City of Lynwood,3112,4319,4438,95,132,206,72047,2020-09-12 11:16:35.255316
48,City of Malibu,100,772,784,3,23,11,12961,2020-09-12 11:16:35.255316
49,City of Manhattan Beach,334,928,924,5,14,13,35999,2020-09-12 11:16:35.255316
50,City of Maywood,1373,4895,5072,33,118,177,28049,2020-09-12 11:16:35.255316
51,City of Monrovia,716,1845,1841,37,95,91,38800,2020-09-12 11:16:35.255316
52,City of Montebello,2185,3394,3362,46,71,58,64375,2020-09-12 11:16:35.255316
53,City of Monterey Park,924,1484,1423,45,72,35,62262,2020-09-12 11:16:35.255316
54,City of Norwalk,3094,2875,2803,70,65,64,107622,2020-09-12 11:16:35.255316
55,City of Palmdale,3817,2401,2431,65,41,50,158968,2020-09-12 11:16:35.255316
56,City of Palos Verdes Estates,91,673,631,2,15,7,13522,2020-09-12 11:16:35.255316
57,City of Paramount,2281,4072,4019,28,50,66,56023,2020-09-12 11:16:35.255316
58,City of Pico Rivera,2294,3569,3483,71,110,94,64284,2020-09-12 11:16:35.255316
59,City of Pomona,5196,3332,3305,115,74,90,155931,2020-09-12 11:16:35.255316
60,City of Rancho Palos Verdes,282,660,676,13,30,13,42747,2020-09-12 11:16:35.255316
61,City of Redondo Beach,528,769,802,9,13,14,68697,2020-09-12 11:16:35.255316
62,City of Rolling Hills,11,567,673,0,0,0,1940,2020-09-12 11:16:35.255316
63,City of Rolling Hills Estates,40,493,612,2,25,13,8113,2020-09-12 11:16:35.255316
64,City of Rosemead,792,1431,1398,25,45,34,55350,2020-09-12 11:16:35.255316
65,City of San Dimas,494,1431,1423,14,41,31,34516,2020-09-12 11:16:35.255316
66,City of San Fernando,855,3474,3442,18,73,90,24612,2020-09-12 11:16:35.255316
67,City of San Gabriel,602,1470,1337,56,137,94,40954,2020-09-12 11:16:35.255316
68,City of San Marino,84,633,541,2,15,9,13277,2020-09-12 11:16:35.255316
69,City of Santa Clarita,3149,1429,1440,45,20,22,220424,2020-09-12 11:16:35.255316
70,City of Santa Fe Springs,531,2892,2891,4,22,20,18364,2020-09-12 11:16:35.255316
71,City of Santa Monica,824,891,842,41,44,32,92446,2020-09-12 11:16:35.255316
72,City of Sierra Madre,68,619,571,3,27,17,10989,2020-09-12 11:16:35.255316
73,City of Signal Hill,262,2221,2252,2,17,18,11797,2020-09-12 11:16:35.255316
74,City of South El Monte,767,3672,3653,15,72,81,20885,2020-09-12 11:16:35.255316
75,City of South Gate,4230,4310,4247,70,71,92,98155,2020-09-12 11:16:35.255316
76,City of South Pasadena,262,1006,952,27,104,85,26053,2020-09-12 11:16:35.255316
77,City of Temple City,510,1399,1281,40,110,70,36455,2020-09-12 11:16:35.255316
78,City of Torrance,1354,907,885,67,45,32,149268,2020-09-12 11:16:35.255316
79,City of Vernon,10,4785,5018,0,0,0,209,2020-09-12 11:16:35.255316
80,City of Walnut,250,819,837,4,13,8,30532,2020-09-12 11:16:35.255316
81,City of West Covina,2719,2512,2459,59,55,47,108235,2020-09-12 11:16:35.255316
82,City of West Hollywood,517,1399,1328,5,14,9,36951,2020-09-12 11:16:35.255316
83,City of Westlake Village,31,371,419,0,0,0,8360,2020-09-12 11:16:35.255316
84,City of Whittier,2128,2434,2392,31,35,33,87432,2020-09-12 11:16:35.255316
85,Los Angeles - Adams-Normandie,257,3133,3087,4,49,48,8202,2020-09-12 11:16:35.255316
86,Los Angeles - Alsace,351,2820,2700,3,24,34,12445,2020-09-12 11:16:35.255316
87,Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40,2020-09-12 11:16:35.255316
88,Los Angeles - Angelino Heights,70,2798,2850,1,40,38,2502,2020-09-12 11:16:35.255316
89,Los Angeles - Arleta,1376,4003,3910,25,73,84,34370,2020-09-12 11:16:35.255316
90,Los Angeles - Atwater Village,228,1555,1513,6,41,32,14666,2020-09-12 11:16:35.255316
91,Los Angeles - Baldwin Hills,595,1912,1916,26,84,66,31125,2020-09-12 11:16:35.255316
92,Los Angeles - Bel Air,78,925,965,0,0,0,8429,2020-09-12 11:16:35.255316
93,Los Angeles - Beverly Crest,109,870,995,2,16,9,12525,2020-09-12 11:16:35.255316
94,Los Angeles - Beverlywood,147,1116,1175,0,0,0,13173,2020-09-12 11:16:35.255316
95,Los Angeles - Boyle Heights,4105,4725,4707,61,70,82,86884,2020-09-12 11:16:35.255316
96,Los Angeles - Brentwood,275,888,838,3,10,7,30955,2020-09-12 11:16:35.255316
97,Los Angeles - Brookside,3,516,485,0,0,0,581,2020-09-12 11:16:35.255316
98,Los Angeles - Cadillac-Corning,121,1699,1659,1,14,27,7121,2020-09-12 11:16:35.255316
99,Los Angeles - Canoga Park,1770,2711,2687,57,87,111,65289,2020-09-12 11:16:35.255316
100,Los Angeles - Carthay,201,1399,1817,15,104,52,14363,2020-09-12 11:16:35.255316
101,Los Angeles - Central,2078,5329,5417,41,105,153,38992,2020-09-12 11:16:35.255316
102,Los Angeles - Century City,112,876,1033,0,0,0,12792,2020-09-12 11:16:35.255316
103,Los Angeles - Century Palms/Cove,1443,4274,4368,21,62,88,33766,2020-09-12 11:16:35.255316
104,Los Angeles - Chatsworth,623,1681,1684,35,94,61,37061,2020-09-12 11:16:35.255316
105,Los Angeles - Cheviot Hills,67,731,824,2,22,10,9171,2020-09-12 11:16:35.255316
106,Los Angeles - Chinatown,110,1371,1353,3,37,23,8021,2020-09-12 11:16:35.255316
107,Los Angeles - Cloverdale/Cochran,285,1958,1885,5,34,37,14553,2020-09-12 11:16:35.255316
108,Los Angeles - Country Club Park,297,1960,1812,22,145,108,15153,2020-09-12 11:16:35.255316
109,Los Angeles - Crenshaw District,288,2083,2092,3,22,14,13829,2020-09-12 11:16:35.255316
110,Los Angeles - Crestview,183,1610,1579,20,176,158,11368,2020-09-12 11:16:35.255316
111,Los Angeles - Del Rey,332,1109,1110,9,30,23,29936,2020-09-12 11:16:35.255316
112,Los Angeles - Downtown,757,2752,2860,15,55,44,27507,2020-09-12 11:16:35.255316
113,Los Angeles - Eagle Rock,629,1589,1526,23,58,40,39589,2020-09-12 11:16:35.255316
114,Los Angeles - East Hollywood,590,2015,1877,43,147,126,29287,2020-09-12 11:16:35.255316
115,Los Angeles - Echo Park,225,1578,1556,4,28,27,14256,2020-09-12 11:16:35.255316
116,Los Angeles - El Sereno,1169,2796,2742,31,74,71,41808,2020-09-12 11:16:35.255316
117,Los Angeles - Elysian Park,93,1628,1536,0,0,0,5712,2020-09-12 11:16:35.255316
118,Los Angeles - Elysian Valley,252,2478,2407,3,30,27,10171,2020-09-12 11:16:35.255316
119,Los Angeles - Encino,535,1184,1244,18,40,20,45172,2020-09-12 11:16:35.255316
120,Los Angeles - Exposition,75,2255,2128,2,60,62,3326,2020-09-12 11:16:35.255316
121,Los Angeles - Exposition Park,1259,2803,2845,21,47,64,44917,2020-09-12 11:16:35.255316
122,Los Angeles - Faircrest Heights,30,833,754,2,56,46,3600,2020-09-12 11:16:35.255316
123,Los Angeles - Figueroa Park Square,310,3555,3540,4,46,46,8721,2020-09-12 11:16:35.255316
124,Los Angeles - Florence-Firestone,2184,4603,4644,27,57,83,47445,2020-09-12 11:16:35.255316
125,Los Angeles - Glassell Park,653,2066,2008,13,41,34,31604,2020-09-12 11:16:35.255316
126,Los Angeles - Gramercy Place,229,2127,2192,4,37,24,10764,2020-09-12 11:16:35.255316
127,Los Angeles - Granada Hills,1110,1908,1811,62,107,77,58191,2020-09-12 11:16:35.255316
128,Los Angeles - Green Meadows,903,4199,4225,11,51,68,21505,2020-09-12 11:16:35.255316
129,Los Angeles - Hancock Park,212,1244,1293,3,18,17,17039,2020-09-12 11:16:35.255316
130,Los Angeles - Harbor City,469,1613,1604,10,34,27,29070,2020-09-12 11:16:35.255316
131,Los Angeles - Harbor Gateway,943,2163,2112,13,30,33,43600,2020-09-12 11:16:35.255316
132,Los Angeles - Harbor Pines,19,789,875,0,0,0,2409,2020-09-12 11:16:35.255316
133,Los Angeles - Harvard Heights,543,3011,2944,23,128,150,18035,2020-09-12 11:16:35.255316
134,Los Angeles - Harvard Park,1547,4078,4039,22,58,61,37935,2020-09-12 11:16:35.255316
135,Los Angeles - Highland Park,1042,2153,2106,21,43,48,48391,2020-09-12 11:16:35.255316
136,Los Angeles - Historic Filipinotown,411,2963,2765,14,101,91,13870,2020-09-12 11:16:35.255316
137,Los Angeles - Hollywood,1124,1647,1492,14,21,22,68254,2020-09-12 11:16:35.255316
138,Los Angeles - Hollywood Hills,272,924,1030,7,24,22,29434,2020-09-12 11:16:35.255316
139,Los Angeles - Hyde Park,762,2670,2626,14,49,41,28541,2020-09-12 11:16:35.255316
140,Los Angeles - Jefferson Park,252,3122,3093,0,0,0,8073,2020-09-12 11:16:35.255316
141,Los Angeles - Koreatown,1112,2151,2087,27,52,51,51693,2020-09-12 11:16:35.255316
142,Los Angeles - Lafayette Square,79,1733,1701,3,66,64,4559,2020-09-12 11:16:35.255316
143,Los Angeles - Lake Balboa,958,2270,2262,19,45,48,42206,2020-09-12 11:16:35.255316
144,Los Angeles - Lakeview Terrace,520,3959,3932,23,175,196,13133,2020-09-12 11:16:35.255316
145,Los Angeles - Leimert Park,289,1897,1876,8,53,36,15235,2020-09-12 11:16:35.255316
146,Los Angeles - Lincoln Heights,1020,3129,3057,47,144,121,32597,2020-09-12 11:16:35.255316
147,Los Angeles - Little Armenia,385,4798,4157,51,636,517,8025,2020-09-12 11:16:35.255316
148,Los Angeles - Little Bangladesh,467,1648,1639,5,18,19,28343,2020-09-12 11:16:35.255316
149,Los Angeles - Little Tokyo,79,2522,3061,2,64,21,3133,2020-09-12 11:16:35.255316
150,Los Angeles - Longwood,111,2579,2489,0,0,0,4304,2020-09-12 11:16:35.255316
151,Los Angeles - Los Feliz,196,907,965,2,9,6,21608,2020-09-12 11:16:35.255316
152,Los Angeles - Manchester Square,191,2238,2251,4,47,35,8536,2020-09-12 11:16:35.255316
153,Los Angeles - Mandeville Canyon,24,768,1020,0,0,0,3124,2020-09-12 11:16:35.255316
