,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,155,742,733,1,5,5,20883,2020-09-15 12:53:46.161347
1,City of Alhambra,1204,1388,1379,27,31,22,86724,2020-09-15 12:53:46.161347
2,City of Arcadia,465,805,774,33,57,36,57754,2020-09-15 12:53:46.161347
3,City of Artesia,347,2066,1965,7,42,30,16795,2020-09-15 12:53:46.161347
4,City of Avalon,5,129,151,0,0,0,3869,2020-09-15 12:53:46.161347
5,City of Azusa,1470,2938,2953,20,40,48,50040,2020-09-15 12:53:46.161347
6,City of Baldwin Park,2813,3664,3632,82,107,122,76769,2020-09-15 12:53:46.161347
7,City of Bell,1518,4178,4207,40,110,147,36332,2020-09-15 12:53:46.161347
8,City of Bell Gardens,1840,4272,4317,21,49,77,43071,2020-09-15 12:53:46.161347
9,City of Bellflower,2283,2937,2920,59,76,86,77735,2020-09-15 12:53:46.161347
10,City of Beverly Hills,647,1874,1856,12,35,17,34520,2020-09-15 12:53:46.161347
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-15 12:53:46.161347
12,City of Burbank,1411,1316,1244,57,53,41,107180,2020-09-15 12:53:46.161347
13,City of Calabasas,251,1032,956,12,49,41,24323,2020-09-15 12:53:46.161347
14,City of Carson,1776,1892,1836,57,61,47,93846,2020-09-15 12:53:46.161347
15,City of Cerritos,541,1081,1136,14,28,22,50067,2020-09-15 12:53:46.161347
16,City of Claremont,363,995,1027,10,27,17,36484,2020-09-15 12:53:46.161347
17,City of Commerce,550,4208,4157,11,84,88,13069,2020-09-15 12:53:46.161347
18,City of Compton,3881,3885,3893,68,68,83,99904,2020-09-15 12:53:46.161347
19,City of Covina,1331,2715,2689,35,71,65,49032,2020-09-15 12:53:46.161347
20,City of Cudahy,1058,4346,4402,15,62,102,24347,2020-09-15 12:53:46.161347
21,City of Culver City,374,938,907,29,73,49,39865,2020-09-15 12:53:46.161347
