,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,155,742,733,1,5,5,20883,2020-09-10 18:19:51.494395
1,City of Alhambra,1185,1366,1360,25,29,20,86724,2020-09-10 18:19:51.494395
2,City of Arcadia,458,793,761,32,55,35,57754,2020-09-10 18:19:51.494395
3,City of Artesia,312,1858,1786,6,36,25,16795,2020-09-10 18:19:51.494395
4,City of Avalon,5,129,151,0,0,0,3869,2020-09-10 18:19:51.494395
5,City of Azusa,1454,2906,2920,18,36,43,50040,2020-09-10 18:19:51.494395
6,City of Baldwin Park,2766,3603,3570,80,104,120,76769,2020-09-10 18:19:51.494395
7,City of Bell,1493,4109,4137,40,110,147,36332,2020-09-10 18:19:51.494395
8,City of Bell Gardens,1819,4223,4267,21,49,77,43071,2020-09-10 18:19:51.494395
9,City of Bellflower,2261,2909,2890,58,75,84,77735,2020-09-10 18:19:51.494395
10,City of Beverly Hills,635,1840,1820,12,35,17,34520,2020-09-10 18:19:51.494395
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-10 18:19:51.494395
12,City of Burbank,1388,1295,1222,57,53,41,107180,2020-09-10 18:19:51.494395
13,City of Calabasas,246,1011,935,12,49,41,24323,2020-09-10 18:19:51.494395
14,City of Carson,1749,1864,1806,56,60,47,93846,2020-09-10 18:19:51.494395
15,City of Cerritos,539,1077,1130,14,28,22,50067,2020-09-10 18:19:51.494395
16,City of Claremont,360,987,1019,10,27,17,36484,2020-09-10 18:19:51.494395
17,City of Commerce,548,4193,4144,11,84,88,13069,2020-09-10 18:19:51.494395
18,City of Compton,3830,3834,3843,66,66,80,99904,2020-09-10 18:19:51.494395
19,City of Covina,1314,2680,2657,29,59,52,49032,2020-09-10 18:19:51.494395
20,City of Cudahy,1053,4325,4379,15,62,102,24347,2020-09-10 18:19:51.494395
21,City of Culver City,374,938,906,29,73,49,39865,2020-09-10 18:19:51.494395
22,City of Diamond Bar,513,892,873,9,16,11,57515,2020-09-10 18:19:51.494395
23,City of Downey,3843,3363,3288,82,72,71,114263,2020-09-10 18:19:51.494395
24,City of Duarte,519,2357,2206,28,127,81,22016,2020-09-10 18:19:51.494395
25,City of El Monte,4165,3552,3516,147,125,126,117269,2020-09-10 18:19:51.494395
26,City of El Segundo,126,751,736,1,6,3,16786,2020-09-10 18:19:51.494395
27,City of Gardena,1202,1961,1940,46,75,52,61310,2020-09-10 18:19:51.494395
28,City of Glendale,3298,1597,1470,170,82,57,206493,2020-09-10 18:19:51.494395
29,City of Glendora,1202,2278,2132,65,123,93,52764,2020-09-10 18:19:51.494395
30,City of Hawaiian Gardens,509,3468,3401,2,14,16,14676,2020-09-10 18:19:51.494395
31,City of Hawthorne,1868,2104,2084,42,47,54,88787,2020-09-10 18:19:51.494395
32,City of Hermosa Beach,200,1017,986,4,20,27,19670,2020-09-10 18:19:51.494395
33,City of Hidden Hills,6,317,160,0,0,0,1890,2020-09-10 18:19:51.494395
34,City of Huntington Park,2737,4601,4574,49,82,107,59484,2020-09-10 18:19:51.494395
35,City of Industry,36,8238,8236,2,458,556,437,2020-09-10 18:19:51.494395
36,City of Inglewood,2727,2401,2372,86,76,81,113582,2020-09-10 18:19:51.494395
37,City of Irwindale,68,4661,4647,2,137,155,1459,2020-09-10 18:19:51.494395
38,City of La Canada Flintridge,172,831,965,7,34,21,20693,2020-09-10 18:19:51.494395
39,City of La Habra Heights,39,715,681,0,0,0,5455,2020-09-10 18:19:51.494395
40,City of La Mirada,802,1617,1551,26,52,36,49599,2020-09-10 18:19:51.494395
41,City of La Puente,1430,3514,3438,17,42,42,40697,2020-09-10 18:19:51.494395
42,City of La Verne,431,1295,1356,10,30,16,33282,2020-09-10 18:19:51.494395
43,City of Lakewood,1200,1493,1497,13,16,13,80362,2020-09-10 18:19:51.494395
44,City of Lancaster,3064,1896,1918,44,27,33,161570,2020-09-10 18:19:51.494395
45,City of Lawndale,598,1779,1724,10,30,39,33614,2020-09-10 18:19:51.494395
46,City of Lomita,236,1138,1105,9,43,30,20729,2020-09-10 18:19:51.494395
47,City of Lynwood,3102,4306,4423,94,130,204,72047,2020-09-10 18:19:51.494395
48,City of Malibu,100,772,784,3,23,11,12961,2020-09-10 18:19:51.494395
49,City of Manhattan Beach,332,922,918,5,14,13,35999,2020-09-10 18:19:51.494395
50,City of Maywood,1369,4881,5059,33,118,177,28049,2020-09-10 18:19:51.494395
51,City of Monrovia,712,1835,1829,37,95,91,38800,2020-09-10 18:19:51.494395
52,City of Montebello,2169,3369,3337,46,71,58,64375,2020-09-10 18:19:51.494395
53,City of Monterey Park,917,1473,1414,44,71,34,62262,2020-09-10 18:19:51.494395
54,City of Norwalk,3087,2868,2796,69,64,63,107622,2020-09-10 18:19:51.494395
55,City of Palmdale,3798,2389,2418,65,41,50,158968,2020-09-10 18:19:51.494395
56,City of Palos Verdes Estates,91,673,631,2,15,7,13522,2020-09-10 18:19:51.494395
57,City of Paramount,2276,4063,4010,28,50,66,56023,2020-09-10 18:19:51.494395
58,City of Pico Rivera,2294,3569,3483,71,110,94,64284,2020-09-10 18:19:51.494395
59,City of Pomona,5176,3319,3292,113,72,88,155931,2020-09-10 18:19:51.494395
60,City of Rancho Palos Verdes,278,650,666,13,30,13,42747,2020-09-10 18:19:51.494395
61,City of Redondo Beach,527,767,801,9,13,14,68697,2020-09-10 18:19:51.494395
62,City of Rolling Hills,11,567,673,0,0,0,1940,2020-09-10 18:19:51.494395
63,City of Rolling Hills Estates,40,493,612,2,25,13,8113,2020-09-10 18:19:51.494395
64,City of Rosemead,791,1429,1396,25,45,34,55350,2020-09-10 18:19:51.494395
65,City of San Dimas,494,1431,1423,14,41,31,34516,2020-09-10 18:19:51.494395
66,City of San Fernando,851,3458,3425,18,73,90,24612,2020-09-10 18:19:51.494395
67,City of San Gabriel,601,1468,1334,54,132,91,40954,2020-09-10 18:19:51.494395
68,City of San Marino,84,633,541,2,15,9,13277,2020-09-10 18:19:51.494395
69,City of Santa Clarita,3136,1423,1435,45,20,22,220424,2020-09-10 18:19:51.494395
70,City of Santa Fe Springs,530,2886,2885,4,22,20,18364,2020-09-10 18:19:51.494395
71,City of Santa Monica,820,887,838,41,44,32,92446,2020-09-10 18:19:51.494395
72,City of Sierra Madre,68,619,571,3,27,17,10989,2020-09-10 18:19:51.494395
73,City of Signal Hill,260,2204,2235,2,17,18,11797,2020-09-10 18:19:51.494395
74,City of South El Monte,767,3672,3653,15,72,81,20885,2020-09-10 18:19:51.494395
75,City of South Gate,4216,4295,4232,68,69,89,98155,2020-09-10 18:19:51.494395
76,City of South Pasadena,260,998,943,27,104,85,26053,2020-09-10 18:19:51.494395
77,City of Temple City,504,1383,1263,40,110,70,36455,2020-09-10 18:19:51.494395
78,City of Torrance,1348,903,881,67,45,32,149268,2020-09-10 18:19:51.494395
79,City of Vernon,10,4785,5018,0,0,0,209,2020-09-10 18:19:51.494395
80,City of Walnut,249,816,834,4,13,8,30532,2020-09-10 18:19:51.494395
81,City of West Covina,2701,2496,2441,59,55,47,108235,2020-09-10 18:19:51.494395
82,City of West Hollywood,516,1396,1326,5,14,9,36951,2020-09-10 18:19:51.494395
83,City of Westlake Village,31,371,419,0,0,0,8360,2020-09-10 18:19:51.494395
84,City of Whittier,2115,2419,2377,30,34,31,87432,2020-09-10 18:19:51.494395
85,Los Angeles - Adams-Normandie,258,3146,3098,4,49,48,8202,2020-09-10 18:19:51.494395
86,Los Angeles - Alsace,351,2820,2700,3,24,34,12445,2020-09-10 18:19:51.494395
87,Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40,2020-09-10 18:19:51.494395
88,Los Angeles - Angelino Heights,68,2718,2741,1,40,38,2502,2020-09-10 18:19:51.494395
89,Los Angeles - Arleta,1367,3977,3884,25,73,84,34370,2020-09-10 18:19:51.494395
90,Los Angeles - Atwater Village,228,1555,1511,6,41,32,14666,2020-09-10 18:19:51.494395
91,Los Angeles - Baldwin Hills,593,1905,1910,26,84,66,31125,2020-09-10 18:19:51.494395
92,Los Angeles - Bel Air,78,925,965,0,0,0,8429,2020-09-10 18:19:51.494395
93,Los Angeles - Beverly Crest,109,870,995,2,16,9,12525,2020-09-10 18:19:51.494395
94,Los Angeles - Beverlywood,146,1108,1167,0,0,0,13173,2020-09-10 18:19:51.494395
95,Los Angeles - Boyle Heights,4102,4721,4703,61,70,82,86884,2020-09-10 18:19:51.494395
96,Los Angeles - Brentwood,273,882,831,3,10,7,30955,2020-09-10 18:19:51.494395
97,Los Angeles - Brookside,3,516,485,0,0,0,581,2020-09-10 18:19:51.494395
98,Los Angeles - Cadillac-Corning,121,1699,1659,1,14,27,7121,2020-09-10 18:19:51.494395
99,Los Angeles - Canoga Park,1766,2705,2682,57,87,111,65289,2020-09-10 18:19:51.494395
100,Los Angeles - Carthay,201,1399,1817,15,104,52,14363,2020-09-10 18:19:51.494395
101,Los Angeles - Central,2069,5306,5395,41,105,153,38992,2020-09-10 18:19:51.494395
102,Los Angeles - Century City,111,868,1018,0,0,0,12792,2020-09-10 18:19:51.494395
103,Los Angeles - Century Palms/Cove,1443,4274,4368,21,62,88,33766,2020-09-10 18:19:51.494395
104,Los Angeles - Chatsworth,621,1676,1677,35,94,61,37061,2020-09-10 18:19:51.494395
105,Los Angeles - Cheviot Hills,66,720,816,2,22,10,9171,2020-09-10 18:19:51.494395
106,Los Angeles - Chinatown,110,1371,1353,3,37,23,8021,2020-09-10 18:19:51.494395
107,Los Angeles - Cloverdale/Cochran,283,1945,1868,5,34,37,14553,2020-09-10 18:19:51.494395
108,Los Angeles - Country Club Park,283,1868,1730,22,145,108,15153,2020-09-10 18:19:51.494395
109,Los Angeles - Crenshaw District,287,2075,2088,3,22,14,13829,2020-09-10 18:19:51.494395
110,Los Angeles - Crestview,181,1592,1564,20,176,158,11368,2020-09-10 18:19:51.494395
111,Los Angeles - Del Rey,332,1109,1110,9,30,23,29936,2020-09-10 18:19:51.494395
112,Los Angeles - Downtown,756,2748,2854,14,51,40,27507,2020-09-10 18:19:51.494395
113,Los Angeles - Eagle Rock,625,1579,1520,20,51,35,39589,2020-09-10 18:19:51.494395
114,Los Angeles - East Hollywood,588,2008,1869,43,147,126,29287,2020-09-10 18:19:51.494395
115,Los Angeles - Echo Park,223,1564,1541,4,28,27,14256,2020-09-10 18:19:51.494395
116,Los Angeles - El Sereno,1164,2784,2732,31,74,71,41808,2020-09-10 18:19:51.494395
117,Los Angeles - Elysian Park,93,1628,1536,0,0,0,5712,2020-09-10 18:19:51.494395
118,Los Angeles - Elysian Valley,250,2458,2388,3,30,27,10171,2020-09-10 18:19:51.494395
119,Los Angeles - Encino,535,1184,1244,18,40,20,45172,2020-09-10 18:19:51.494395
120,Los Angeles - Exposition,75,2255,2128,2,60,62,3326,2020-09-10 18:19:51.494395
121,Los Angeles - Exposition Park,1257,2798,2840,21,47,64,44917,2020-09-10 18:19:51.494395
122,Los Angeles - Faircrest Heights,30,833,754,2,56,46,3600,2020-09-10 18:19:51.494395
123,Los Angeles - Figueroa Park Square,309,3543,3528,4,46,46,8721,2020-09-10 18:19:51.494395
124,Los Angeles - Florence-Firestone,2174,4582,4625,27,57,83,47445,2020-09-10 18:19:51.494395
125,Los Angeles - Glassell Park,651,2060,2001,13,41,34,31604,2020-09-10 18:19:51.494395
126,Los Angeles - Gramercy Place,226,2100,2159,4,37,24,10764,2020-09-10 18:19:51.494395
127,Los Angeles - Granada Hills,1102,1894,1795,62,107,77,58191,2020-09-10 18:19:51.494395
128,Los Angeles - Green Meadows,903,4199,4225,11,51,68,21505,2020-09-10 18:19:51.494395
129,Los Angeles - Hancock Park,209,1227,1271,3,18,17,17039,2020-09-10 18:19:51.494395
130,Los Angeles - Harbor City,467,1606,1597,10,34,27,29070,2020-09-10 18:19:51.494395
131,Los Angeles - Harbor Gateway,935,2144,2095,13,30,33,43600,2020-09-10 18:19:51.494395
132,Los Angeles - Harbor Pines,18,747,850,0,0,0,2409,2020-09-10 18:19:51.494395
133,Los Angeles - Harvard Heights,541,3000,2934,23,128,150,18035,2020-09-10 18:19:51.494395
134,Los Angeles - Harvard Park,1546,4075,4037,22,58,61,37935,2020-09-10 18:19:51.494395
135,Los Angeles - Highland Park,1036,2141,2094,21,43,48,48391,2020-09-10 18:19:51.494395
136,Los Angeles - Historic Filipinotown,412,2970,2771,14,101,91,13870,2020-09-10 18:19:51.494395
137,Los Angeles - Hollywood,1120,1641,1486,14,21,22,68254,2020-09-10 18:19:51.494395
138,Los Angeles - Hollywood Hills,270,917,1016,7,24,22,29434,2020-09-10 18:19:51.494395
139,Los Angeles - Hyde Park,759,2659,2615,14,49,41,28541,2020-09-10 18:19:51.494395
140,Los Angeles - Jefferson Park,252,3122,3093,0,0,0,8073,2020-09-10 18:19:51.494395
141,Los Angeles - Koreatown,1111,2149,2085,27,52,51,51693,2020-09-10 18:19:51.494395
142,Los Angeles - Lafayette Square,79,1733,1701,3,66,64,4559,2020-09-10 18:19:51.494395
143,Los Angeles - Lake Balboa,948,2246,2239,19,45,48,42206,2020-09-10 18:19:51.494395
144,Los Angeles - Lakeview Terrace,517,3937,3913,23,175,196,13133,2020-09-10 18:19:51.494395
145,Los Angeles - Leimert Park,287,1884,1861,8,53,36,15235,2020-09-10 18:19:51.494395
146,Los Angeles - Lincoln Heights,1017,3120,3048,47,144,121,32597,2020-09-10 18:19:51.494395
147,Los Angeles - Little Armenia,384,4785,4134,51,636,517,8025,2020-09-10 18:19:51.494395
148,Los Angeles - Little Bangladesh,466,1644,1635,5,18,19,28343,2020-09-10 18:19:51.494395
149,Los Angeles - Little Tokyo,73,2330,2920,2,64,21,3133,2020-09-10 18:19:51.494395
150,Los Angeles - Longwood,109,2533,2450,0,0,0,4304,2020-09-10 18:19:51.494395
151,Los Angeles - Los Feliz,194,898,950,2,9,6,21608,2020-09-10 18:19:51.494395
152,Los Angeles - Manchester Square,191,2238,2251,4,47,35,8536,2020-09-10 18:19:51.494395
153,Los Angeles - Mandeville Canyon,24,768,1020,0,0,0,3124,2020-09-10 18:19:51.494395
154,Los Angeles - Mar Vista,300,706,717,6,14,12,42471,2020-09-10 18:19:51.494395
155,Los Angeles - Marina Peninsula,31,711,744,0,0,0,4360,2020-09-10 18:19:51.494395
156,Los Angeles - Melrose,1811,2331,2292,70,90,91,77696,2020-09-10 18:19:51.494395
157,Los Angeles - Mid-city,270,1796,1755,24,160,145,15030,2020-09-10 18:19:51.494395
158,Los Angeles - Miracle Mile,162,901,847,6,33,33,17985,2020-09-10 18:19:51.494395
159,Los Angeles - Mission Hills,715,2964,2850,30,124,102,24124,2020-09-10 18:19:51.494395
160,Los Angeles - Mt. Washington,521,2158,2109,16,66,61,24145,2020-09-10 18:19:51.494395
161,Los Angeles - North Hills,1703,2766,2722,44,71,81,61575,2020-09-10 18:19:51.494395
162,Los Angeles - North Hollywood,3522,2326,2231,64,42,47,151421,2020-09-10 18:19:51.494395
163,Los Angeles - Northridge,1312,1880,1833,42,60,49,69797,2020-09-10 18:19:51.494395
164,Los Angeles - Pacific Palisades,118,554,631,4,19,9,21291,2020-09-10 18:19:51.494395
165,Los Angeles - Pacoima,3215,4176,4179,46,60,80,76979,2020-09-10 18:19:51.494395
166,Los Angeles - Palisades Highlands,24,624,728,0,0,0,3846,2020-09-10 18:19:51.494395
167,Los Angeles - Palms,513,1169,1291,28,64,87,43877,2020-09-10 18:19:51.494395
168,Los Angeles - Panorama City,2716,3609,3622,89,118,156,75250,2020-09-10 18:19:51.494395
169,Los Angeles - Park La Brea,97,714,607,1,7,8,13580,2020-09-10 18:19:51.494395
170,Los Angeles - Pico-Union,1717,4104,4117,91,217,256,41842,2020-09-10 18:19:51.494395
171,Los Angeles - Playa Del Rey,27,845,1087,0,0,0,3196,2020-09-10 18:19:51.494395
172,Los Angeles - Playa Vista,132,1206,1232,0,0,0,10947,2020-09-10 18:19:51.494395
173,Los Angeles - Porter Ranch,340,955,1019,6,17,10,35588,2020-09-10 18:19:51.494395
174,Los Angeles - Rancho Park,85,1296,1484,1,15,11,6560,2020-09-10 18:19:51.494395
175,Los Angeles - Regent Square,29,1043,1011,0,0,0,2780,2020-09-10 18:19:51.494395
176,Los Angeles - Reseda,2032,2652,2575,77,100,91,76617,2020-09-10 18:19:51.494395
177,Los Angeles - Reseda Ranch,109,2351,2215,0,0,0,4636,2020-09-10 18:19:51.494395
178,Los Angeles - Reynier Village,39,922,987,0,0,0,4228,2020-09-10 18:19:51.494395
179,Los Angeles - San Pedro,1876,2404,2397,27,35,31,78038,2020-09-10 18:19:51.494395
180,Los Angeles - Shadow Hills,57,1283,1475,0,0,0,4442,2020-09-10 18:19:51.494395
181,Los Angeles - Sherman Oaks,979,1122,1202,25,29,24,87254,2020-09-10 18:19:51.494395
182,Los Angeles - Silverlake,594,1347,1350,18,41,35,44083,2020-09-10 18:19:51.494395
183,Los Angeles - South Carthay,107,1010,1210,2,19,12,10595,2020-09-10 18:19:51.494395
184,Los Angeles - South Park,1955,5150,5220,28,74,110,37961,2020-09-10 18:19:51.494395
185,Los Angeles - St Elmo Village,135,2945,3131,8,175,264,4584,2020-09-10 18:19:51.494395
186,Los Angeles - Studio City,231,1029,1151,11,49,42,22440,2020-09-10 18:19:51.494395
187,Los Angeles - Sun Valley,1495,2849,2780,28,53,53,52483,2020-09-10 18:19:51.494395
188,Los Angeles - Sunland,419,2053,1964,29,142,101,20408,2020-09-10 18:19:51.494395
189,Los Angeles - Sycamore Square,5,773,783,0,0,0,647,2020-09-10 18:19:51.494395
190,Los Angeles - Sylmar,3073,3729,3698,81,98,119,82398,2020-09-10 18:19:51.494395
191,Los Angeles - Tarzana,586,1898,1764,37,120,75,30876,2020-09-10 18:19:51.494395
192,Los Angeles - Temple-Beaudry,1191,3017,2920,26,66,75,39482,2020-09-10 18:19:51.494395
193,Los Angeles - Thai Town,155,1580,1509,0,0,0,9809,2020-09-10 18:19:51.494395
194,Los Angeles - Toluca Lake,95,1091,1285,0,0,0,8704,2020-09-10 18:19:51.494395
195,Los Angeles - Toluca Terrace,22,1685,1683,1,77,72,1306,2020-09-10 18:19:51.494395
196,Los Angeles - Toluca Woods,18,969,879,0,0,0,1858,2020-09-10 18:19:51.494395
197,Los Angeles - Tujunga,463,1665,1624,14,50,41,27810,2020-09-10 18:19:51.494395
198,Los Angeles - University Hills,50,1458,1442,1,29,19,3429,2020-09-10 18:19:51.494395
199,Los Angeles - University Park,987,3595,3968,19,69,125,27456,2020-09-10 18:19:51.494395
200,Los Angeles - Valley Glen,579,1929,1870,22,73,75,30016,2020-09-10 18:19:51.494395
201,Los Angeles - Valley Village,476,1926,1894,25,101,85,24720,2020-09-10 18:19:51.494395
202,Los Angeles - Van Nuys,2764,2966,2980,79,85,105,93194,2020-09-10 18:19:51.494395
203,Los Angeles - Venice,271,800,1024,3,9,9,33885,2020-09-10 18:19:51.494395
204,Los Angeles - Vermont Knolls,698,4058,4007,13,76,93,17200,2020-09-10 18:19:51.494395
205,Los Angeles - Vermont Square,322,4205,4156,3,39,36,7657,2020-09-10 18:19:51.494395
206,Los Angeles - Vermont Vista,1828,4438,4531,24,58,87,41186,2020-09-10 18:19:51.494395
207,Los Angeles - Vernon Central,2855,5491,5599,41,79,116,51998,2020-09-10 18:19:51.494395
208,Los Angeles - Victoria Park,205,2441,2364,4,48,41,8399,2020-09-10 18:19:51.494395
209,Los Angeles - View Heights,43,1164,1158,2,54,42,3694,2020-09-10 18:19:51.494395
210,Los Angeles - Watts,1854,4345,4537,27,63,107,42674,2020-09-10 18:19:51.494395
211,Los Angeles - Wellington Square,116,2360,2350,0,0,0,4915,2020-09-10 18:19:51.494395
212,Los Angeles - West Adams,846,3062,2996,38,138,138,27630,2020-09-10 18:19:51.494395
213,Los Angeles - West Hills,507,1250,1268,30,74,45,40545,2020-09-10 18:19:51.494395
214,Los Angeles - West Los Angeles,476,1265,1263,16,43,44,37636,2020-09-10 18:19:51.494395
215,Los Angeles - West Vernon,2211,4122,4109,47,88,115,53644,2020-09-10 18:19:51.494395
216,Los Angeles - Westchester,398,771,727,15,29,26,51603,2020-09-10 18:19:51.494395
217,Los Angeles - Westlake,2303,3880,3940,142,239,279,59355,2020-09-10 18:19:51.494395
218,Los Angeles - Westwood,335,619,571,6,11,10,54109,2020-09-10 18:19:51.494395
219,Los Angeles - Wholesale District,2278,6305,5478,26,72,90,36129,2020-09-10 18:19:51.494395
220,Los Angeles - Wilmington,1675,2965,2959,17,30,40,56487,2020-09-10 18:19:51.494395
221,Los Angeles - Wilshire Center,1059,2111,2056,34,68,66,50170,2020-09-10 18:19:51.494395
222,Los Angeles - Winnetka,1158,2236,2141,17,33,31,51786,2020-09-10 18:19:51.494395
223,Los Angeles - Woodland Hills,829,1218,1204,29,43,27,68055,2020-09-10 18:19:51.494395
224,Unincorporated - Acton,65,815,889,2,25,18,7971,2020-09-10 18:19:51.494395
225,Unincorporated - Agua Dulce,25,601,648,0,0,0,4158,2020-09-10 18:19:51.494395
226,Unincorporated - Altadena,661,1515,1566,13,30,23,43620,2020-09-10 18:19:51.494395
227,Unincorporated - Anaverde,13,862,1013,0,0,0,1508,2020-09-10 18:19:51.494395
228,Unincorporated - Angeles National Forest,5,402,411,0,0,0,1245,2020-09-10 18:19:51.494395
229,Unincorporated - Arcadia,85,1065,1089,3,38,26,7981,2020-09-10 18:19:51.494395
230,Unincorporated - Athens Village,218,4452,4483,10,204,209,4897,2020-09-10 18:19:51.494395
231,Unincorporated - Athens-Westmont,1464,3449,3473,27,64,70,42442,2020-09-10 18:19:51.494395
232,Unincorporated - Avocado Heights,277,4089,4044,3,44,48,6775,2020-09-10 18:19:51.494395
233,Unincorporated - Azusa,460,2889,2801,3,19,26,15923,2020-09-10 18:19:51.494395
234,Unincorporated - Bassett,604,4076,4025,9,61,63,14817,2020-09-10 18:19:51.494395
235,Unincorporated - Bouquet Canyon,6,559,800,1,93,82,1073,2020-09-10 18:19:51.494395
236,Unincorporated - Bradbury,4,3704,303,1,926,255,108,2020-09-10 18:19:51.494395
237,Unincorporated - Canyon Country,119,1540,1617,0,0,0,7728,2020-09-10 18:19:51.494395
238,Unincorporated - Castaic,1917,7050,6438,3,11,12,27191,2020-09-10 18:19:51.494395
239,Unincorporated - Cerritos,16,2726,2763,0,0,0,587,2020-09-10 18:19:51.494395
240,Unincorporated - Claremont,22,3134,4106,2,285,210,702,2020-09-10 18:19:51.494395
241,Unincorporated - Covina,403,2396,2309,6,36,33,16819,2020-09-10 18:19:51.494395
242,Unincorporated - Covina (Charter Oak),289,2199,2191,1,8,10,13144,2020-09-10 18:19:51.494395
243,Unincorporated - Del Aire,72,1639,1618,2,46,44,4393,2020-09-10 18:19:51.494395
244,Unincorporated - Del Rey,3,943,1312,0,0,0,318,2020-09-10 18:19:51.494395
245,Unincorporated - Del Sur,11,455,527,1,41,20,2415,2020-09-10 18:19:51.494395
246,Unincorporated - Desert View Highlands,44,1765,1651,1,40,24,2493,2020-09-10 18:19:51.494395
247,Unincorporated - Duarte,133,3004,2974,4,90,114,4428,2020-09-10 18:19:51.494395
248,Unincorporated - East Covina,4,1216,1379,0,0,0,329,2020-09-10 18:19:51.494395
249,Unincorporated - East La Mirada,97,1833,1820,0,0,0,5292,2020-09-10 18:19:51.494395
250,Unincorporated - East Los Angeles,5939,4741,4745,99,79,92,125269,2020-09-10 18:19:51.494395
251,Unincorporated - East Pasadena,76,1187,1129,1,16,9,6403,2020-09-10 18:19:51.494395
252,Unincorporated - East Rancho Dominguez,643,4200,4173,14,91,108,15308,2020-09-10 18:19:51.494395
253,Unincorporated - East Whittier,79,1489,1459,0,0,0,5306,2020-09-10 18:19:51.494395
254,Unincorporated - El Camino Village,142,1615,1614,3,34,24,8791,2020-09-10 18:19:51.494395
255,Unincorporated - El Monte,6,4138,6520,0,0,0,145,2020-09-10 18:19:51.494395
256,Unincorporated - Elizabeth Lake,6,361,406,0,0,0,1661,2020-09-10 18:19:51.494395
257,Unincorporated - Florence-Firestone,3259,5037,5102,45,70,88,64705,2020-09-10 18:19:51.494395
258,Unincorporated - Glendora,12,1818,2094,0,0,0,660,2020-09-10 18:19:51.494395
259,Unincorporated - Hacienda Heights,966,1727,1710,15,27,18,55926,2020-09-10 18:19:51.494395
