,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,6,546,585,0,0,0,1098.0,,,,,,,,
08-22-2020,,,,,,,,,63.0,5738.0,6331.0,5.0,455.0,528.0,1098.0
08-19-2020,,,,,,,,,63.0,5738.0,6331.0,5.0,455.0,528.0,1098.0
08-27-2020,6,546,585,0,0,0,1098,,72.0,6557.0,7383.0,6.0,546.0,585.0,1098.0
