,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,65,691,533,1,11,13,9411.0,,,,,,,,
08-22-2020,,,,,,,,,1707.0,18138.0,15174.0,60.0,638.0,491.0,9411.0
08-19-2020,,,,,,,,,1707.0,18138.0,15174.0,60.0,638.0,491.0,9411.0
08-27-2020,65,691,533,1,11,13,9411,,1871.0,19881.0,16685.0,64.0,680.0,525.0,9411.0
