,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-29,67,610,565,3,27,17,10989.0,,,,,,,
2020-08-22,,,,,,,,1825.0,16608.0,17050.0,63.0,573.0,501.0,10989.0
2020-08-19,,,,,,,,1825.0,16608.0,17050.0,63.0,573.0,501.0,10989.0
2020-08-27,67,610,565,3,27,17,10989,1987.0,18082.0,18639.0,66.0,601.0,527.0,10989.0
