,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,33,1618,1956,0,0,0,2040.0,,,,,,,,
08-22-2020,,,,,,,,,330.0,16176.0,15550.0,27.0,1324.0,1495.0,2040.0
08-19-2020,,,,,,,,,330.0,16176.0,15550.0,27.0,1324.0,1495.0,2040.0
08-27-2020,32,1569,1920,0,0,0,2040,,355.0,17402.0,16968.0,32.0,1569.0,1920.0,2040.0
