,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-29,202,2405,2326,3,36,29,8399.0,,,,,,,
2020-08-22,,,,,,,,1472.0,17526.0,17023.0,189.0,2250.0,2175.0,8399.0
2020-08-19,,,,,,,,1472.0,17526.0,17023.0,189.0,2250.0,2175.0,8399.0
2020-08-27,202,2405,2326,3,36,29,8399,1566.0,18645.0,18120.0,203.0,2417.0,2340.0,8399.0
