,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,27,845,1087,0,0,0,3196.0,,,,,,,,
08-22-2020,,,,,,,,,639.0,19994.0,21065.0,28.0,876.0,1094.0,3196.0
08-19-2020,,,,,,,,,639.0,19994.0,21065.0,28.0,876.0,1094.0,3196.0
08-27-2020,26,814,1062,0,0,0,3196,,678.0,21214.0,22540.0,30.0,939.0,1168.0,3196.0
