,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,160,773,905,7,34,21,20693.0,,,,,,,,
08-22-2020,,,,,,,,,3713.0,17943.0,20614.0,128.0,619.0,720.0,20693.0
08-19-2020,,,,,,,,,3713.0,17943.0,20614.0,128.0,619.0,720.0,20693.0
08-27-2020,160,773,905,7,34,21,20693,,4010.0,19379.0,22304.0,144.0,696.0,821.0,20693.0
