,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-29,49,1429,1418,1,29,19,3429.0,,,,,,,
2020-08-22,,,,,,,,696.0,20297.0,20174.0,48.0,1400.0,1411.0,3429.0
2020-08-19,,,,,,,,696.0,20297.0,20174.0,48.0,1400.0,1411.0,3429.0
2020-08-27,49,1429,1418,1,29,19,3429,734.0,21406.0,21261.0,50.0,1458.0,1459.0,3429.0
