,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,10,414,474,1,41,20,2415.0,,,,,,,,
08-22-2020,,,,,,,,,212.0,8778.0,9706.0,8.0,331.0,351.0,2415.0
08-19-2020,,,,,,,,,212.0,8778.0,9706.0,8.0,331.0,351.0,2415.0
08-27-2020,9,373,440,1,41,20,2415,,229.0,9482.0,10541.0,9.0,373.0,440.0,2415.0
