,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,155,783,792,2,10,5,19801.0,,,,,,,,
08-22-2020,,,,,,,,,3429.0,17317.0,17666.0,136.0,687.0,699.0,19801.0
08-19-2020,,,,,,,,,3429.0,17317.0,17666.0,136.0,687.0,699.0,19801.0
08-27-2020,152,768,772,2,10,5,19801,,3684.0,18605.0,18993.0,149.0,752.0,762.0,19801.0
