,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,4,1216,1379,0,0,0,329.0,,,,,,,,
08-22-2020,,,,,,,,,60.0,18237.0,24041.0,4.0,1216.0,1379.0,329.0
08-19-2020,,,,,,,,,60.0,18237.0,24041.0,4.0,1216.0,1379.0,329.0
08-27-2020,4,1216,1379,0,0,0,329,,63.0,19149.0,24855.0,4.0,1216.0,1379.0,329.0
