,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-29,42,4412,4285,2,210,67,952.0,,,,,,,
2020-08-22,,,,,,,,552.0,57983.0,47906.0,20.0,2101.0,2373.0,952.0
2020-08-19,,,,,,,,552.0,57983.0,47906.0,20.0,2101.0,2373.0,952.0
2020-08-27,42,4412,4285,2,210,67,952,573.0,60189.0,50623.0,21.0,2206.0,2561.0,952.0
