,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,78,1711,1673,3,66,64,4559.0,,,,,,,,
08-22-2020,,,,,,,,,912.0,20004.0,19352.0,72.0,1579.0,1547.0,4559.0
08-19-2020,,,,,,,,,912.0,20004.0,19352.0,72.0,1579.0,1547.0,4559.0
08-27-2020,78,1711,1673,3,66,64,4559,,979.0,21474.0,20776.0,76.0,1667.0,1628.0,4559.0
