,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-29,9,1073,1596,0,0,0,839.0,,,,,,,
2020-08-22,,,,,,,,158.0,18832.0,19945.0,9.0,1073.0,1596.0,839.0
2020-08-19,,,,,,,,158.0,18832.0,19945.0,9.0,1073.0,1596.0,839.0
2020-08-27,9,1073,1596,0,0,0,839,166.0,19785.0,20952.0,9.0,1073.0,1596.0,839.0
