,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
08-29-2020,240,2034,2068,2,17,18,11797.0,,,,,,,,
08-22-2020,,,,,,,,,2226.0,18869.0,18887.0,225.0,1907.0,1925.0,11797.0
08-19-2020,,,,,,,,,2226.0,18869.0,18887.0,225.0,1907.0,1925.0,11797.0
08-27-2020,240,2034,2068,1,8,6,11797,,2341.0,19844.0,19856.0,240.0,2034.0,2051.0,11797.0
