,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,160,766,752,1,5,5,20883,2020-09-24 20:02:11.457109
1,City of Alhambra,1243,1433,1424,26,30,21,86724,2020-09-24 20:02:11.457109
2,City of Arcadia,490,848,814,33,57,36,57754,2020-09-24 20:02:11.457109
3,City of Artesia,364,2167,2078,9,54,37,16795,2020-09-24 20:02:11.457109
4,City of Avalon,6,155,174,0,0,0,3869,2020-09-24 20:02:11.457109
5,City of Azusa,1515,3028,3040,23,46,55,50040,2020-09-24 20:02:11.457109
6,City of Baldwin Park,2948,3840,3803,86,112,128,76769,2020-09-24 20:02:11.457109
7,City of Bell,1588,4371,4397,41,113,150,36332,2020-09-24 20:02:11.457109
8,City of Bell Gardens,1920,4458,4502,22,51,80,43071,2020-09-24 20:02:11.457109
9,City of Bellflower,2364,3041,3023,59,76,86,77735,2020-09-24 20:02:11.457109
10,City of Beverly Hills,677,1961,1937,12,35,17,34520,2020-09-24 20:02:11.457109
11,City of Bradbury,14,1310,1589,0,0,0,1069,2020-09-24 20:02:11.457109
12,City of Burbank,1520,1418,1345,56,52,40,107180,2020-09-24 20:02:11.457109
13,City of Calabasas,268,1102,1015,12,49,41,24323,2020-09-24 20:02:11.457109
14,City of Carson,1830,1950,1896,61,65,50,93846,2020-09-24 20:02:11.457109
15,City of Cerritos,558,1115,1168,18,36,26,50067,2020-09-24 20:02:11.457109
16,City of Claremont,383,1050,1088,10,27,17,36484,2020-09-24 20:02:11.457109
17,City of Commerce,582,4453,4393,11,84,88,13069,2020-09-24 20:02:11.457109
18,City of Compton,4018,4022,4036,69,69,85,99904,2020-09-24 20:02:11.457109
19,City of Covina,1387,2829,2799,42,86,76,49032,2020-09-24 20:02:11.457109
20,City of Cudahy,1086,4461,4531,16,66,113,24347,2020-09-24 20:02:11.457109
21,City of Culver City,385,966,937,29,73,49,39865,2020-09-24 20:02:11.457109
22,City of Diamond Bar,545,948,925,9,16,11,57515,2020-09-24 20:02:11.457109
23,City of Downey,4079,3570,3494,85,74,73,114263,2020-09-24 20:02:11.457109
24,City of Duarte,548,2489,2333,29,132,84,22016,2020-09-24 20:02:11.457109
25,City of El Monte,4303,3669,3631,159,136,136,117269,2020-09-24 20:02:11.457109
26,City of El Segundo,131,780,764,1,6,3,16786,2020-09-24 20:02:11.457109
27,City of Gardena,1234,2013,1995,50,82,57,61310,2020-09-24 20:02:11.457109
28,City of Glendale,3651,1768,1637,175,85,58,206493,2020-09-24 20:02:11.457109
29,City of Glendora,1250,2369,2213,71,135,100,52764,2020-09-24 20:02:11.457109
30,City of Hawaiian Gardens,535,3645,3574,2,14,16,14676,2020-09-24 20:02:11.457109
31,City of Hawthorne,1928,2171,2150,45,51,58,88787,2020-09-24 20:02:11.457109
32,City of Hermosa Beach,208,1057,1037,4,20,27,19670,2020-09-24 20:02:11.457109
33,City of Hidden Hills,7,370,203,0,0,0,1890,2020-09-24 20:02:11.457109
34,City of Huntington Park,2919,4907,4907,56,94,122,59484,2020-09-24 20:02:11.457109
35,City of Industry,36,8238,8236,2,458,556,437,2020-09-24 20:02:11.457109
36,City of Inglewood,2838,2499,2466,89,78,84,113582,2020-09-24 20:02:11.457109
37,City of Irwindale,68,4661,4624,2,137,155,1459,2020-09-24 20:02:11.457109
38,City of La Canada Flintridge,184,889,1020,7,34,21,20693,2020-09-24 20:02:11.457109
39,City of La Habra Heights,44,807,780,0,0,0,5455,2020-09-24 20:02:11.457109
40,City of La Mirada,842,1698,1624,26,52,35,49599,2020-09-24 20:02:11.457109
41,City of La Puente,1480,3637,3562,22,54,52,40697,2020-09-24 20:02:11.457109
42,City of La Verne,464,1394,1466,12,36,18,33282,2020-09-24 20:02:11.457109
43,City of Lakewood,1269,1579,1585,14,17,15,80362,2020-09-24 20:02:11.457109
44,City of Lancaster,3346,2071,2102,55,34,42,161570,2020-09-24 20:02:11.457109
45,City of Lawndale,632,1880,1822,10,30,39,33614,2020-09-24 20:02:11.457109
46,City of Lomita,240,1158,1121,9,43,30,20729,2020-09-24 20:02:11.457109
47,City of Lynwood,3262,4528,4648,98,136,209,72047,2020-09-24 20:02:11.457109
48,City of Malibu,101,779,792,3,23,11,12961,2020-09-24 20:02:11.457109
49,City of Manhattan Beach,357,992,990,5,14,13,35999,2020-09-24 20:02:11.457109
50,City of Maywood,1424,5077,5238,33,118,177,28049,2020-09-24 20:02:11.457109
51,City of Monrovia,743,1915,1914,38,98,93,38800,2020-09-24 20:02:11.457109
52,City of Montebello,2288,3554,3521,49,76,61,64375,2020-09-24 20:02:11.457109
53,City of Monterey Park,948,1523,1467,47,75,36,62262,2020-09-24 20:02:11.457109
54,City of Norwalk,3237,3008,2935,77,72,70,107622,2020-09-24 20:02:11.457109
55,City of Palmdale,4059,2553,2584,70,44,54,158968,2020-09-24 20:02:11.457109
56,City of Palos Verdes Estates,97,717,664,2,15,7,13522,2020-09-24 20:02:11.457109
57,City of Paramount,2365,4221,4164,28,50,66,56023,2020-09-24 20:02:11.457109
58,City of Pico Rivera,2413,3754,3666,74,115,97,64284,2020-09-24 20:02:11.457109
59,City of Pomona,5419,3475,3448,127,81,100,155931,2020-09-24 20:02:11.457109
60,City of Rancho Palos Verdes,300,702,729,13,30,13,42747,2020-09-24 20:02:11.457109
61,City of Redondo Beach,551,802,838,11,16,17,68697,2020-09-24 20:02:11.457109
62,City of Rolling Hills,12,619,704,0,0,0,1940,2020-09-24 20:02:11.457109
63,City of Rolling Hills Estates,42,518,630,2,25,13,8113,2020-09-24 20:02:11.457109
64,City of Rosemead,821,1483,1450,28,51,37,55350,2020-09-24 20:02:11.457109
65,City of San Dimas,528,1530,1519,14,41,31,34516,2020-09-24 20:02:11.457109
66,City of San Fernando,909,3693,3643,18,73,90,24612,2020-09-24 20:02:11.457109
67,City of San Gabriel,629,1536,1407,60,147,100,40954,2020-09-24 20:02:11.457109
68,City of San Marino,88,663,570,2,15,9,13277,2020-09-24 20:02:11.457109
69,City of Santa Clarita,3397,1541,1551,46,21,23,220424,2020-09-24 20:02:11.457109
70,City of Santa Fe Springs,560,3049,3062,4,22,20,18364,2020-09-24 20:02:11.457109
71,City of Santa Monica,864,935,888,41,44,32,92446,2020-09-24 20:02:11.457109
